"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1424",1424,"Donnelly College","Kansas City","KS","66102","NULL","NULL","NULL","0.1908396947",NA,NA,NA,NA,NA,NA,NA,NA,"0.254","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42400",1
"1425",1425,"Emporia State University","Emporia","KS","66801-5415","0.8226","505","25","0.3642921551","0.0373",NA,NA,"0.0249","0.0221",NA,"0.0097",NA,"0.427","36200","37300","40800","52100",1
"1427",1427,"Fort Hays State University","Hays","KS","67601-4099","0.6777","NULL","25","0.3771021992","0.039","0.0024",NA,"0.009","0.0029",NA,"0.0062",NA,"0.4169","35300","39300","45200","59100",1
"1428",1428,"Barclay College","Haviland","KS","67059-0288","1","500","25","0.34",NA,NA,NA,NA,NA,NA,NA,NA,"0.4091","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1429",1429,"Friends University","Wichita","KS","67213","0.6402","580","25","0.2580213904","0.0393",NA,NA,"0.0246","0.0016",NA,NA,NA,"0.2517","39600","46800","55100","68700",1
"1432",1432,"Haskell Indian Nations University","Lawrence","KS","66046-4800","0.4465","470","19","0.0371747212",NA,NA,NA,NA,NA,NA,NA,NA,"0.3533","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40100",1
"1441",1441,"University of Kansas","Lawrence","KS","66045","0.9252","NULL","28","0.5119604784","0.0076","0.0639",NA,"0.0587","0.0062",NA,"0.0153",NA,"0.6072","51300","50000","52000","69200",1
"1442",1442,"Newman University","Wichita","KS","67213-2097","0.4347","650","26","0.5362318841","0.0143",NA,NA,"0.1219","0.0072",NA,"0.0072",NA,"0.2818","35300","45200","51000","58300",1
"1444",1444,"Kansas State University","Manhattan","KS","66506","0.9894","NULL","NULL","0.4452980132","0.017","0.093","0.051","0.0314","0.0065",NA,"0.0065",NA,"0.5552","45800","47300","51000","65100",1
"1445",1445,"Kansas Wesleyan University","Salina","KS","67401-6196","0.5868","540","24","0.3446969697","0.0256",NA,NA,"0.0385","0.0064",NA,"0.0513",NA,"0.4219","33200","39700","43200","55000",1
"1450",1450,"Manhattan Christian College","Manhattan","KS","66502-4801","NULL","NULL","NULL","0.2796610169",NA,NA,NA,NA,NA,NA,NA,NA,"0.4557","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55300",1
"1451",1451,"McPherson College","McPherson","KS","67460-1402","0.572","520","24","0.4864864865",NA,NA,"0.1592","0.0637","0.0191",NA,"0.0064",NA,"0.4579","36500","37200","42300","54000",1
"1452",1452,"MidAmerica Nazarene University","Olathe","KS","66062-1899","0.9784","460","25","0.5109170306","0.0067",NA,NA,"0.0067",NA,NA,"0.0022",NA,"0.4352","36200","44100","49300","66800",1
"1456",1456,"Ottawa University-Ottawa","Ottawa","KS","66067-3399","0.9462","520","24","0.2649294245","0.0366",NA,NA,"0.061","0.0122",NA,NA,NA,"0.469","39200","46400","45900","68900",1
"1457",1457,"Ottawa University-Kansas City","Overland Park","KS","66211","NULL","NULL","NULL","0.2649294245","0.1379",NA,NA,NA,NA,NA,NA,NA,"NULL","39200","46400","45900","68900",1
"1458",1458,"Pittsburg State University","Pittsburg","KS","66762","0.7684","NULL","24","0.4242002782","0.0136",NA,"0.137","0.0528","0.0068",NA,"0.0094",NA,"0.5025","40800","40500","47500","61100",1
"1460",1460,"University of Saint Mary","Leavenworth","KS","66048-5082","0.5526","510","24","0.5537634409","0.0068",NA,NA,"0.0274","0.0274",NA,NA,NA,"0.4217","36600","41400","51700","53400",1
"1464",1464,"Southwestern College","Winfield","KS","67156-6224","0.873","510","24","0.5684931507","0.1",NA,NA,"0.0246",NA,NA,"0.0062",NA,"0.5735","47500","50500","54600","73200",1
"1465",1465,"Sterling College","Sterling","KS","67579","0.4895","520","25","0.3797468354",NA,NA,NA,"0.0583",NA,NA,NA,NA,"0.4762","PrivacySuppressed","34500","38900","46400",1
"1466",1466,"Tabor College","Hillsboro","KS","67063-1799","0.9115","560","25","0.4660194175",NA,NA,NA,"0.0313","0.0188",NA,"0.0313",NA,"0.5246","38600","39700","42300","60300",1
"1467",1467,"Washburn University","Topeka","KS","66621-0001","1","NULL","25","0.3092862625","0.0231",NA,"0.008","0.0271","0.006",NA,"0.004",NA,"0.379","35200","42200","45000","59600",1
"1469",1469,"Wichita State University","Wichita","KS","67260-0124","0.9389","620","26","0.4021876315","0.0095","0.0885",NA,"0.0155","0.007",NA,"0.024",NA,"0.4365","38900","44700","47600","63300",1
"1471",1471,"Alice Lloyd College","Pippa Passes","KY","41844","0.3338","600","24","0.273255814",NA,NA,NA,"0.284",NA,NA,NA,NA,"0.4468","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47000",1
"1472",1472,"Asbury University","Wilmore","KY","40390-1198","0.6314","600","26","0.485042735",NA,NA,NA,"0.0249","0.0312",NA,"0.0093",NA,"0.7065","34500","38900","34500","48700",1
"1473",1473,"Asbury Theological Seminary","Wilmore","KY","40390-1199","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","76100",1
"1476",1476,"Bellarmine University","Louisville","KY","40205-0671","0.5182","600","26","0.6619217082","0.0138","0.002",NA,"0.0573","0.002",NA,"0.0059",NA,"0.6644","48400","46500","51100","65300",1
"1477",1477,"Berea College","Berea","KY","40404-2182","0.1245","588","26","0.5304136253","0.0222",NA,"0.0556","0.0889","0.0222",NA,"0.0296",NA,"0.619","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46300",1
"1480",1480,"Brescia University","Owensboro","KY","42301-3023","0.4789","470","23","0.3668639053",NA,NA,NA,"0.0341","0.0341",NA,"0.0227",NA,"0.3208","38700","42100","40200","58500",1
"1481",1481,"Campbellsville University","Campbellsville","KY","42718-2799","0.6327","580","22","0.3346613546","0.0132",NA,NA,"0.0429","0.0165",NA,"0.0066",NA,"0.4435","32700","35600","39500","45700",1
"1483",1483,"Centre College","Danville","KY","40422-1394","0.7088","670","30","0.7853403141","0.026",NA,NA,"0.1152","0.0297",NA,"0.0595",NA,"0.8196","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","57000",1
"1484",1484,"Clear Creek Baptist Bible College","Pineville","KY","40977-9752","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.4737","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1488",1488,"University of the Cumberlands","Williamsburg","KY","40769","0.7005","530","24","0.3951120163","0.0039","0.0079",NA,"0.126","0.0157",NA,"0.0079",NA,"0.434","33000","36200","36300","48800",1
"1489",1489,"Eastern Kentucky University","Richmond","KY","40475-3102","0.6576","550","23","0.362305581","0.0054","0.0013","0.0331","0.0297","0.0021",NA,"0.0163",NA,"0.3724","32600","38500","41400","54900",1
"1492",1492,"Frontier Nursing University","Hyden","KY","41749","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1493",1493,"Georgetown College","Georgetown","KY","40324-1696","0.8835","560","25","0.4968944099",NA,NA,NA,"0.1277","0.0255",NA,"0.0128",NA,"0.5913","45100","43900","47800","55100",1
"1499",1499,"Daymar College-Paducah Main","Paducah","KY","42001-8252","NULL","NULL","NULL","0.3879310345",NA,NA,NA,NA,NA,NA,NA,NA,"0.875","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44800",1
"1503",1503,"American National University-Lexington","Lexington","KY","40509","NULL","NULL","NULL","0.3195302843","0.0373",NA,"0.0238",NA,NA,NA,NA,NA,"0.3908","20300","26500","27300","37200",1
"1504",1504,"Kentucky Mountain Bible College","Jackson","KY","41339","0.5357","NULL","23","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.375","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1505",1505,"Kentucky State University","Frankfort","KY","40601-2355","0.3028","470","19","0.1784841076","0.0387",NA,NA,"0.0423","0.0106",NA,"0.0176",NA,"0.2132","26900","29700","34300","46400",1
"1506",1506,"Kentucky Wesleyan College","Owensboro","KY","42301","0.5215","543","25","0.287037037","0.0064",NA,NA,"0.1346","0.0128",NA,"0.0449",NA,"0.445","32500","42600","50600","52500",1
"1507",1507,"University of Kentucky","Lexington","KY","40506-0032","0.6852","630","27","0.5084194978","0.0075","0.0854",NA,"0.0665","0.011",NA,"0.0108",NA,"0.5944","47400","48000","50200","68500",1
"1508",1508,"Kentucky Christian University","Grayson","KY","41143-1199","0.3487","NULL","22","0.3431372549",NA,NA,NA,NA,NA,NA,NA,NA,"0.442","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51500",1
"1509",1509,"Lexington Theological Seminary","Lexington","KY","40503","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1510",1510,"Lindsey Wilson College","Columbia","KY","42728-1223","NULL","NULL","NULL","0.3901192504","0.0082","0.0027",NA,"0.0381","0.0054",NA,NA,NA,"0.2808","25300","34400","37400","40000",1
"1511",1511,"Sullivan College of Technology and Design","Louisville","KY","40218","0.8173","NULL","NULL","PrivacySuppressed","0.2888",NA,"0.3664",NA,NA,NA,NA,NA,"0.5929","29500","39300","35800","47700",1
"1512",1512,"University of Louisville","Louisville","KY","40292-0001","0.749","640","27","0.4111149465",NA,"0.0921",NA,"0.05","0.0068",NA,"0.0154",NA,"0.5073","42800","45100","42900","60100",1
"1513",1513,"Louisville Presbyterian Theological Seminary","Louisville","KY","40205-1798","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1516",1516,"Mid-Continent University","Mayfield","KY","42066-9007","0.9526","500","20","0.4011299435",NA,NA,NA,NA,"0.0016",NA,NA,NA,"0.2437","32500","43000","64600","73900",1
"1517",1517,"Midway University","Midway","KY","40347-1120","0.5165","520","24","0.408993576","0.0294",NA,NA,"0.0221",NA,NA,NA,NA,"0.6047","33300","39000","45200","56200",1
"1518",1518,"Morehead State University","Morehead","KY","40351","0.8879","590","23","0.3200654308","0.0096",NA,"0.033","0.0394","0.0153",NA,"0.0225",NA,"0.3641","30500","34700","40900","48800",1
"1520",1520,"Murray State University","Murray","KY","42071-3318","0.8146","550","24","0.4404267931","0.0076","0.0102","0.0732","0.0261","0.0096",NA,"0.0166",NA,"0.5257","35500","39000","44200","56200",1
"1522",1522,"Northern Kentucky University","Highland Heights","KY","41099","0.6626","555","24","0.3355932203","0.034",NA,"0.0244","0.0201","0.0105",NA,"0.0168",NA,"0.3735","33600","38800","43700","53800",1
"1524",1524,"Daymar College-Owensboro","Owensboro","KY","42301","NULL","NULL","NULL","0.3550356053","0.053",NA,NA,NA,NA,NA,NA,NA,"0.3333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35400",1
"1527",1527,"University of Pikeville","Pikeville","KY","41501","NULL","NULL","NULL","0.3365695793","0.0152",NA,NA,"0.0909","0.0227",NA,"0.0303",NA,"0.2476","32200","39500","44600","57600",1
"1529",1529,"Brown Mackie College-Louisville","Louisville","KY","40219","NULL","NULL","NULL","0.3678290214","0.0316","0.0203","0.0542",NA,NA,NA,NA,NA,"0.425","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47100",1
"1531",1531,"Saint Catharine College","Saint Catharine","KY","40061","NULL","NULL","NULL","0.3004291845",NA,NA,NA,NA,NA,NA,NA,NA,"0.2287","30500","35600","42400","51500",1
"1535",1535,"Brown Mackie College-Northern Kentucky","Fort Mitchell","KY","41017","NULL","NULL","NULL","0.3678290214","0.0395",NA,"0.0553",NA,NA,NA,NA,NA,"0.2927","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47100",1
"1538",1538,"Spalding University","Louisville","KY","40203-2188","0.4278","460","20","0.2680115274",NA,NA,NA,NA,NA,NA,NA,NA,"0.4206","37800","47700","48100","70100",1
"1540",1540,"Sullivan University","Louisville","KY","40205-3013","NULL","NULL","NULL","0.0452995616","0.0728",NA,"0.0491",NA,NA,NA,NA,NA,"0.5212","28400","36800","44500","50200",1
"1541",1541,"Thomas More College","Crestview Hills","KY","41017-3495","0.8634","600","25","0.456937799",NA,NA,NA,"0.043","0.0161",NA,"0.0108",NA,"0.5247","34900","51800","62800","78100",1
"1542",1542,"Transylvania University","Lexington","KY","40508-1797","0.8375","660","28","0.6518218623","0.0317",NA,NA,"0.127","0.0278",NA,"0.0278",NA,"0.6963","41500","44200","46700","47900",1
"1544",1544,"Union College","Barbourville","KY","40906-1499","0.735","520","23","0.203187251","0.007",NA,NA,"0.0563","0.007",NA,NA,NA,"0.322","28900","34900","41000","45400",1
"1545",1545,"Western Kentucky University","Bowling Green","KY","42101-1000","0.9249","580","25","0.337260274","0.0156","0.0184","0.017","0.0419","0.0052",NA,"0.0253",NA,"0.4274","33600","38700","41300","52200",1
"1555",1555,"Centenary College of Louisiana","Shreveport","LA","71134-1188","0.6307","600","27","0.5031446541",NA,NA,NA,"0.1448","0.0207",NA,"0.069",NA,"0.5819","41000","45300","54200","60100",1
"1564",1564,"Dillard University","New Orleans","LA","70122","0.4881","470","18","0.3593220339","0.0263",NA,NA,"0.1118","0.0197",NA,"0.0132",NA,"0.2449","33300","38500","44900","50400",1
"1566",1566,"Grambling State University","Grambling","LA","71245","0.5509","480","19","0.2699083862","0.0795",NA,"0.0329","0.0726",NA,NA,"0.011",NA,"0.2764","31300","34600","37000","48600",1
"1571",1571,"Louisiana State University Health Sciences Center-New Orleans","New Orleans","LA","70112-2223","NULL","NULL","NULL","0.8292682927",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","72600","72700","63400","118000",1
"1572",1572,"Louisiana State University-Alexandria","Alexandria","LA","71302-9121","0.6099","NULL","22","0.2328125",NA,NA,NA,"0.0189","0.0157",NA,NA,NA,"0.0954","31500","39100","38700","57200",1
"1573",1573,"Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA","70803-2750","0.7219","650","27","0.5732529266","0.0086","0.0903",NA,"0.0757","0.0077",NA,"0.0131",NA,"0.6202","54700","51500","55900","72200",1
"1575",1575,"Louisiana State University-Shreveport","Shreveport","LA","71115-2399","0.4842","550","24","0.3159173755","0.0301",NA,NA,"0.1062","0.0071",NA,"0.023",NA,"0.2647","35200","41900","55500","63300",1
"1580",1580,"Louisiana College","Pineville","LA","71359","0.739","600","24","0.3584229391",NA,NA,NA,"0.0667","0.0056",NA,"0.0111",NA,"0.3108","40500","45300","44800","67000",1
"1582",1582,"Louisiana Tech University","Ruston","LA","71272","0.6211","610","26","0.4207650273","0.0113","0.1057","0.034","0.0596","0.0023",NA,"0.0098",NA,"0.4815","47300","46700","49800","69700",1
"1583",1583,"Loyola University New Orleans","New Orleans","LA","70118-6143","0.6488","610","26","0.489626556","0.0022",NA,NA,"0.0424","0.0045",NA,"0.0089",NA,"NULL","45100","48100","47800","65300",1
"1584",1584,"McNeese State University","Lake Charles","LA","70605","0.685","590","24","0.2988679245","0.0173","0.0494","0.0372","0.0225","0.0069",NA,"0.0035",NA,"0.373","39000","43500","50400","60500",1
"1585",1585,"University of New Orleans","New Orleans","LA","70148","0.5553","590","23","0.2980588604","0.0105","0.0815",NA,"0.0544","0.0049",NA,"0.0195",NA,"0.3814","39500","43800","45900","58400",1
"1586",1586,"Nicholls State University","Thibodaux","LA","70310","0.8418","610","24","0.3241071429","0.0036",NA,"0.0523","0.0405","0.0045",NA,"0.0081",NA,"0.3843","35700","41300","49200","63000",1
"1587",1587,"University of Louisiana at Monroe","Monroe","LA","71209-0000","0.9192","580","24","0.347375243","0.006",NA,"0.0368","0.0736","0.0026",NA,"0.0068",NA,"0.3502","37300","47400","53700","69700",1
"1589",1589,"Notre Dame Seminary Graduate School of Theology","New Orleans","LA","70118-4391","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"1590",1590,"Northwestern State University of Louisiana","Natchitoches","LA","71497-0002","0.8237","560","23","0.3315282792","0.0072",NA,"0.0204","0.032","0.0022",NA,"0.0039",NA,"0.338","34500","41600","46100","60600",1
"1591",1591,"University of Holy Cross","New Orleans","LA","70131-7399","0.6289","NULL","NULL","0.1952054795",NA,NA,NA,"0.0476",NA,NA,NA,NA,"NULL","42100","41700","43800","63300",1
"1592",1592,"Our Lady of the Lake College","Baton Rouge","LA","70808","0.2482","NULL","22","0.2019704433",NA,NA,NA,"0.0019",NA,NA,NA,NA,"0.2286","43200","46500","52500","73500",1
"1598",1598,"Saint Joseph Seminary College","St. Benedict","LA","70457","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.7143","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1605",1605,"Southeastern Louisiana University","Hammond","LA","70402","0.431","NULL","24","0.2926378098","0.0128",NA,"0.0394","0.0328","0.0043",NA,"0.0029",NA,"0.3339","35500","39900","43400","57100",1
"1606",1606,"Southern University and A & M College","Baton Rouge","LA","70813","0.4293","500","20","0.2521395655","0.0303","0.0872","0.0133","0.0315","0.0061",NA,"0.0169",NA,"0.3047","34700","37800","39800","54300",1
"1607",1607,"Southern University at New Orleans","New Orleans","LA","70126","0.2016","NULL","20","0.1529709229","0.0067",NA,NA,"0.094","0.0067",NA,"0.0034",NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43000",1
"1609",1609,"University of Louisiana at Lafayette","Lafayette","LA","70503","0.6593","NULL","24","0.310782241","0.0105","0.0606","0.0333","0.0351","0.0035",NA,"0.0176",NA,"0.4143","40000","42400","50800","59700",1
"1611",1611,"Tulane University of Louisiana","New Orleans","LA","70118-5698","0.2495","700","32","0.6552748886","0.0404","0.0232",NA,"0.0972","0.0075",NA,"0.0082",NA,"NULL","71100","66100","64900","99500",1
"1612",1612,"Xavier University of Louisiana","New Orleans","LA","70125-1098","0.6408","540","24","0.4197689345","0.0033",NA,NA,"0.3455","0.0033",NA,"0.186",NA,"0.5612","58700","57000","61500","119800",1
"1614",1614,"Kaplan University-Maine Campus","S Portland","ME","04106-2415","NULL","NULL","NULL","0.2078024066",NA,NA,NA,NA,NA,NA,NA,NA,"0.1778","29000","43100","58000","66700",1
"1615",1615,"College of the Atlantic","Bar Harbor","ME","04609","0.6403","NULL","NULL","0.6144578313",NA,NA,NA,NA,NA,NA,NA,NA,"0.7125","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1616",1616,"Bangor Theological Seminary","Bangor","ME","04402-0411","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1617",1617,"Bates College","Lewiston","ME","04240","0.2689","NULL","NULL","0.8282828283",NA,NA,NA,"0.1144","0.032",NA,"0.0572",NA,"0.9224","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","73700",1
"1619",1619,"Bowdoin College","Brunswick","ME","04011","0.1611","740","34","0.8514851485","0.0113",NA,NA,"0.2099","0.0339",NA,"0.0361",NA,"0.9182","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","78400",1
"1622",1622,"Colby College","Waterville","ME","04901-8840","0.2944","710","32","0.8789473684",NA,NA,NA,"0.1283","0.0265",NA,"0.0754",NA,"0.9119","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","72300",1
"1624",1624,"Husson University","Bangor","ME","04401-2999","0.7513","530","24","0.3718459495","0.0278",NA,NA,"0.0278",NA,NA,"0.0126",NA,"0.3778","34700","42100","48300","56400",1
"1627",1627,"University of Maine at Augusta","Augusta","ME","04330-9410","NULL","NULL","NULL","0.1808261886","0.0488",NA,NA,"0.0202",NA,NA,NA,"0.0488","0.1694","25600","32500","36300","47000",1
"1628",1628,"University of Maine at Farmington","Farmington","ME","04938-9978","0.8171","NULL","NULL","0.4633273703","0.0161",NA,NA,"0.0134","0.0107",NA,"0.0054",NA,"0.5939","31400","33400","37300","43200",1
"1629",1629,"University of Maine at Fort Kent","Fort Kent","ME","04743-1292","0.867","NULL","NULL","0.3114754098","0.0462",NA,NA,"0.0359",NA,NA,NA,NA,"0.4031","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","57700",1
"1630",1630,"University of Maine at Machias","Machias","ME","04654-1397","0.7852","510","22","0.1806451613",NA,NA,NA,"0.1829",NA,NA,NA,NA,"0.3774","27600","28400","31200","41300",1
"1631",1631,"University of Maine","Orono","ME","04469","0.778","600","NULL","0.4774859287","0.0038","0.1109","0.0544","0.0582","0.0077",NA,"0.0137",NA,"0.6042","40300","42100","47400","62500",1
"1632",1632,"Maine Maritime Academy","Castine","ME","04420-0001","0.6412","570","24","0.5102040816",NA,"0.4046","0.0462","0.1098",NA,NA,NA,NA,"0.7143","70700","79400","88300","138700",1
"1633",1633,"University of Maine at Presque Isle","Presque Isle","ME","04769-2888","NULL","NULL","NULL","0.2470588235",NA,NA,NA,"0.0164","0.0082",NA,NA,NA,"0.2969","27600","29500","33900","47000",1
"1634",1634,"University of New England","Biddeford","ME","04005-9599","0.8162","590","26","0.6132511556",NA,NA,NA,"0.195","0.0063",NA,"0.0021",NA,"0.5842","46700","47200","52100","63000",1
"1637",1637,"Maine College of Art","Portland","ME","04101-3494","0.9474","NULL","NULL","0.4455445545",NA,NA,NA,NA,NA,NA,NA,NA,"0.418","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37600",1
"1638",1638,"Saint Joseph's College of Maine","Standish","ME","04084-5236","0.8812","530","25","0.5348837209",NA,NA,NA,"0.0596",NA,NA,NA,NA,"0.5455","46900","37700","44300","64600",1
"1641",1641,"University of Southern Maine","Portland","ME","04103","0.7828","550","23","0.3671232877","0.003","0.0091","0.0288","0.0281","0.0083",NA,"0.0197",NA,"0.3282","39500","39100","42200","60800",1
"1642",1642,"Thomas College","Waterville","ME","04901-5097","0.9252","470","NULL","0.4285714286","0.0305",NA,NA,NA,NA,NA,NA,NA,"0.45","37700","39700","40300","52500",1
"1643",1643,"Unity College","Unity","ME","04988","0.6147","NULL","NULL","0.4871794872",NA,NA,NA,"0.2478",NA,NA,NA,NA,"0.4733","38000","38700","34800","47700",1
"1653",1653,"University of Baltimore","Baltimore","MD","21201-5720","0.3235","510","NULL","0.4930232558","0.0285",NA,NA,NA,NA,NA,NA,NA,"NULL","59200","65400","62100","87700",1
"1654",1654,"Bowie State University","Bowie","MD","20715-9465","0.4997","480","19","0.103101425","0.0366",NA,NA,"0.0571","0.0117",NA,NA,NA,"0.4063","48500","54000","50200","66400",1
"1655",1655,"Capitol Technology University","Laurel","MD","20708","0.561","610","30","0.3661971831","0.102","0.4898","0.3061",NA,NA,NA,NA,NA,"0.3692","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","94000",1
"1659",1659,"Washington Adventist University","Takoma Park","MD","20912","NULL","NULL","NULL","0.1532846715","0.0295",NA,NA,"0.0127",NA,NA,"0.0042",NA,"0.2849","44800","56400","55500","76200",1
"1660",1660,"Coppin State University","Baltimore","MD","21216-3698","0.5352","460","NULL","0.1823266219","0.0237",NA,NA,"0.0237","0.0132",NA,NA,"0.0053","0.1467","37000","41800","42800","61100",1
"1664",1664,"Frostburg State University","Frostburg","MD","21532-1099","0.5524","540","21","0.483378257","0.039","0.0067",NA,"0.0334","0.0056",NA,"0.0178",NA,"0.4547","40500","46800","48500","55700",1
"1666",1666,"Goucher College","Baltimore","MD","21204-2794","0.7279","620","26","0.618556701","0.0091",NA,NA,"0.0755","0.0091",NA,"0.0332",NA,"0.7","45000","53300","48400","53500",1
"1667",1667,"Kaplan University-Hagerstown Campus","Hagerstown","MD","21742","NULL","NULL","NULL","0.2078024066","0.1323",NA,NA,NA,NA,NA,NA,NA,"0.4982","29000","43100","58000","66700",1
"1670",1670,"Hood College","Frederick","MD","21701","0.7922","600","25","0.6555269923","0.0539",NA,NA,"0.0868","0.0359",NA,"0.018",NA,"0.6822","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","56700",1
"1673",1673,"Johns Hopkins University","Baltimore","MD","21218-2688","0.194","770","35","0.8519437552","0.0194","0.1755",NA,"0.1103","0.0226",NA,"0.0265",NA,"0.9112","96100","75400","82400","108900",1
"1676",1676,"Loyola University Maryland","Baltimore","MD","21210-2699","0.6341","650","28","0.8070175439","0.0068","0.0193",NA,"0.0523","0.008",NA,"0.0102",NA,"0.8263","77600","70100","72100","74000",1
"1678",1678,"University of Maryland-University College","Adelphi","MD","20783-8010","NULL","NULL","NULL","0.084742268","0.1962",NA,NA,"0.0022",NA,NA,NA,NA,"0.1204","49400","56800","71300","88200",1
"1679",1679,"University of Maryland  Baltimore","Baltimore","MD","21201-1627","NULL","NULL","NULL","0.9111111111",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","108500","83800","88500","141700",1
"1680",1680,"University of Maryland-Baltimore County","Baltimore","MD","21250","0.6081","670","NULL","0.4437535331","0.1665","0.0671",NA,"0.1297","0.0249",NA,"0.0154",NA,"0.5736","54600","58000","59400","72000",1
"1681",1681,"University of Maryland-College Park","College Park","MD","20742","0.448","710","NULL","0.6668210234","0.0278","0.0958",NA,"0.086","0.0126",NA,"0.0186",NA,"0.8182","65600","67200","66500","78800",1
"1682",1682,"Maryland Institute College of Art","Baltimore","MD","21217-4134","0.5496","620","NULL","0.7077747989",NA,NA,NA,NA,NA,NA,NA,NA,"0.7114","38000","33500","36600","49200",1
"1683",1683,"University of Maryland Eastern Shore","Princess Anne","MD","21853-1299","0.4999","480","18","0.3056640625","0.0138","0.0099","0.0435","0.085","0.0079",NA,"0.0059",NA,"0.3123","38100","41800","42200","52600",1
"1687",1687,"Morgan State University","Baltimore","MD","21251-0001","0.495","490","18","0.1317330211","0.016","0.1107",NA,"0.0652","0.0062",NA,"0.0098",NA,"0.2814","40400","42300","45500","53500",1
"1688",1688,"Mount St Mary's University","Emmitsburg","MD","21727-7799","0.656","580","23","0.5872235872","0.0165",NA,NA,"0.0577","0.022",NA,"0.0165",NA,"0.7597","49500","58700","56600","68500",1
"1689",1689,"Ner Israel Rabbinical College","Baltimore","MD","21208","0.8667","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.5263","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1691",1691,"Notre Dame of Maryland University","Baltimore","MD","21210-2476","0.5547","560","NULL","0.5583333333","0.0032",NA,NA,"0.0385","0.0064",NA,"0.0096",NA,"0.483","42900","50400","54900","82900",1
"1696",1696,"St Mary's Seminary & University","Baltimore","MD","21210-1994","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"1697",1697,"Salisbury University","Salisbury","MD","21801-6862","0.5276","620","26","0.5861627162","0.031",NA,NA,"0.065","0.0158",NA,"0.0088",NA,"0.6681","45700","46900","52000","63200",1
