"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"60",60,"University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.2004494382","0.0167","0.0412","0.0662","0.02","0.0072",NA,"0.0061","0.0106","0.2817","NULL","NULL","NULL","NULL",1
"61",61,"University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.1813125695","0.0143","0.0815","0.0474","0.0441","0.0077",NA,"0.0231",NA,"0.307","NULL","NULL","NULL","NULL",1
"62",62,"University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1592592593","0.0143",NA,NA,"0.0476","0.0333",NA,NA,NA,"0.2639","NULL","NULL","NULL","NULL",1
"63",63,"Alaska Pacific University","Anchorage","AK","99508","0.3346","570","25","0.390625",NA,NA,NA,"0.09",NA,NA,"0.03",NA,"0.2653","NULL","NULL","NULL","NULL",1
"65",65,"Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.3533834586","0.0853",NA,"0.045",NA,NA,NA,NA,NA,"0.8929","NULL","NULL","NULL","NULL",1
"68",68,"Everest College-Phoenix","Phoenix","AZ","85021-1641","0.4465","NULL","NULL","0.3216783217",NA,NA,NA,NA,NA,NA,NA,NA,"0.4075","NULL","NULL","NULL","NULL",1
"69",69,"Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2021447721","0.0695",NA,NA,NA,NA,NA,NA,NA,"0.4059","NULL","NULL","NULL","NULL",1
"72",72,"Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"73",73,"American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.5333","NULL","NULL","NULL","NULL",1
"78",78,"CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.4157894737","0.2",NA,NA,NA,NA,NA,NA,NA,"0.6222","NULL","NULL","NULL","NULL",1
"81",81,"Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.5538461538",NA,NA,NA,NA,NA,NA,NA,NA,"0.3497","NULL","NULL","NULL","NULL",1
"82",82,"Arizona State University-Tempe","Tempe","AZ","85287","0.905","620","27","0.4740389679","0.0178","0.0502","0.006","0.0548","0.0064",NA,"0.0056","0.0064","0.5867","NULL","NULL","NULL","NULL",1
"84",84,"University of Arizona","Tucson","AZ","85721-0066","0.7536","610","NULL","0.4042790283","0.0117","0.0474","0.0244","0.0904","0.0127",NA,"0.0218","0.0012","0.5974","NULL","NULL","NULL","NULL",1
"85",85,"Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.15",NA,NA,NA,NA,NA,NA,NA,NA,"0.6753","NULL","NULL","NULL","NULL",1
"88",88,"Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.2435233161","0.0769",NA,NA,NA,NA,NA,NA,NA,"0.3409","NULL","NULL","NULL","NULL",1
"94",94,"DeVry University-Arizona","Phoenix","AZ","85021-2995","0.6823","NULL","NULL","0.0948866829","0.2227","0.1223","0.1965",NA,NA,NA,NA,NA,"0.3395","NULL","NULL","NULL","NULL",1
"97",97,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.8193","650","29","0.4107579462","0.0259","0.2767",NA,NA,NA,NA,"0.0778",NA,"0.6011","NULL","NULL","NULL","NULL",1
"98",98,"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"100",100,"Grand Canyon University","Phoenix","AZ","85017","1","NULL","NULL","0.1588525601",NA,NA,NA,"0.0165",NA,NA,NA,NA,"0.2913","NULL","NULL","NULL","NULL",1
"101",101,"Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.4339653482","0.0816",NA,"0.0459",NA,NA,NA,NA,NA,"0.5736","NULL","NULL","NULL","NULL",1
"108",108,"ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.3204","NULL","NULL","0.3123644252","0.449",NA,"0.398",NA,NA,NA,NA,NA,"0.2295","NULL","NULL","NULL","NULL",1
"109",109,"ITT Technical Institute-Tempe","Tempe","AZ","85282","0.3297","NULL","NULL","0.3123644252","0.3119",NA,"0.4505",NA,NA,NA,NA,NA,"0.2222","NULL","NULL","NULL","NULL",1
"112",112,"Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,"0.0684",NA,NA,NA,NA,"0.0529","NULL","NULL","NULL","NULL",1
"113",113,"Northern Arizona University","Flagstaff","AZ","86011-4092","0.6523","590","26","0.415991054","0.003","0.0227",NA,"0.0479","0.0027",NA,"0.0178","0.0315","0.4921","NULL","NULL","NULL","NULL",1
"115",115,"Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.2331288344","0.0042",NA,NA,"0.0042","0.0084",NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"118",118,"University of Phoenix-Phoenix-Hohokam Campus","Phoenix","AZ","85040-1958","NULL","NULL","NULL","0.2271964424","0.0749",NA,NA,NA,NA,NA,NA,NA,"0.1797","NULL","NULL","NULL","NULL",1
"120",120,"Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.7118935165",NA,NA,NA,NA,NA,NA,NA,NA,"0.7807","NULL","NULL","NULL","NULL",1
"122",122,"Prescott College","Prescott","AZ","86301","0.9945","570","25","0.1622641509",NA,NA,NA,"0.0428",NA,NA,NA,NA,"0.425","NULL","NULL","NULL","NULL",1
"129",129,"Arizona Christian University","Phoenix","AZ","85032-7097","0.6792","510","24","0.3675213675",NA,NA,NA,NA,NA,NA,NA,NA,"0.4655","NULL","NULL","NULL","NULL",1
"132",132,"Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.219665272","0.0732",NA,NA,NA,NA,NA,NA,NA,"0.1022","NULL","NULL","NULL","NULL",1
"135",135,"University of Arkansas at Little Rock","Little Rock","AR","72204","0.8731","NULL","25","0.2129963899","0.0228","0.013","0.0407","0.0423","0.0098",NA,"0.0106",NA,"0.2134","NULL","NULL","NULL","NULL",1
"136",136,"University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7571743929",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"138",138,"Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.0920502092",NA,NA,NA,NA,NA,NA,NA,NA,"0.0213","NULL","NULL","NULL","NULL",1
"141",141,"Lyon College","Batesville","AR","72501","0.6748","590","26","0.3461538462","0.0294",NA,NA,"0.1961","0.0392",NA,"0.0392",NA,"0.5106","NULL","NULL","NULL","NULL",1
"144",144,"University of Arkansas","Fayetteville","AR","72701","0.604","640","28","0.4072299652","0.0046","0.0891",NA,"0.0549","0.0104",NA,"0.0276",NA,"0.5793","NULL","NULL","NULL","NULL",1
"145",145,"University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.3017","480","17","0.2038505096","0.0213",NA,"0.04","0.0507","0.0053",NA,"0.0213",NA,"0.242","NULL","NULL","NULL","NULL",1
"147",147,"Arkansas State University-Main Campus","Jonesboro","AR","72401","0.6755","580","25","0.2983236401","0.0149","0.037","0.0098","0.0226","0.0031",NA,"0.0154",NA,"0.3372","NULL","NULL","NULL","NULL",1
"148",148,"Arkansas Tech University","Russellville","AR","72801-2222","0.9089","600","25","0.2959442332","0.0165","0.0432","0.0213","0.0226","0.0027",NA,"0.0103",NA,"0.3948","NULL","NULL","NULL","NULL",1
"149",149,"University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1142857143",NA,NA,"0.0707","0.0107","0.0032",NA,"0.0011",NA,"0.2655","NULL","NULL","NULL","NULL",1
"154",154,"University of Central Arkansas","Conway","AR","72035-0001","0.9409","NULL","28","0.2893081761","0.0067",NA,NA,"0.0554","0.0103",NA,"0.0091",NA,"0.4233","NULL","NULL","NULL","NULL",1
"155",155,"Central Baptist College","Conway","AR","72034","0.6454","570","23","0.2243589744","0.0865",NA,NA,"0.0192",NA,NA,NA,NA,"0.3415","NULL","NULL","NULL","NULL",1
"157",157,"Crowley's Ridge College","Paragould","AR","72450","NULL","NULL","NULL","0.2419354839",NA,NA,NA,NA,NA,NA,NA,NA,"0.2206","NULL","NULL","NULL","NULL",1
"164",164,"Harding University","Searcy","AR","72143","0.7266","630","27","0.4687131051","0.029","0.0227",NA,"0.0378","0.005",NA,"0.0025",NA,"0.6681","NULL","NULL","NULL","NULL",1
"165",165,"Henderson State University","Arkadelphia","AR","71999-0001","0.6258","560","24","0.1074074074","0.0046",NA,NA,"0.0641","0.0069",NA,"0.0275",NA,"0.327","NULL","NULL","NULL","NULL",1
"166",166,"Hendrix College","Conway","AR","72032-3080","0.8288","680","31","0.493006993","0.0236",NA,NA,"0.1919","0.0067",NA,"0.0539",NA,"0.6034","NULL","NULL","NULL","NULL",1
"169",169,"John Brown University","Siloam Springs","AR","72761","0.7086","600","27","0.6255506608","0.0021","0.035","0.0021","0.037","0.0041",NA,"0.0041",NA,"0.6149","NULL","NULL","NULL","NULL",1
"180",180,"Ouachita Baptist University","Arkadelphia","AR","71998-0001","0.6279","630","27","0.4204946996","0.0034",NA,NA,"0.0785","0.0137",NA,"0.0239",NA,"0.5737","NULL","NULL","NULL","NULL",1
"183",183,"University of the Ozarks","Clarksville","AR","72830","0.9498","560","24","0.313559322",NA,NA,NA,"0.1009","0.0367",NA,"0.0183",NA,"0.5299","NULL","NULL","NULL","NULL",1
"185",185,"Philander Smith College","Little Rock","AR","72202-3799","0.7115","520","20","0.2595419847","0.051",NA,NA,"0.0612","0.0306",NA,NA,NA,"0.1646","NULL","NULL","NULL","NULL",1
"194",194,"Williams Baptist College","Walnut Ridge","AR","72476","0.6679","NULL","23","0.3898305085","0.013",NA,NA,"0.1818",NA,NA,NA,NA,"0.4507","NULL","NULL","NULL","NULL",1
"196",196,"Southern Arkansas University Main Campus","Magnolia","AR","71753","0.6651","610","24","0.3042836041","0.0022",NA,"0.0089","0.0424","0.0067",NA,"0.0089",NA,"0.3261","NULL","NULL","NULL","NULL",1
"199",199,"University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","0.5855","540","24","0.1846814603","0.0399",NA,"0.0562","0.0208","0.0009",NA,"0.0054",NA,"0.1802","NULL","NULL","NULL","NULL",1
"201",201,"Academy of Art University","San Francisco","CA","94105","NULL","NULL","NULL","0.109236609","0.0623",NA,NA,NA,NA,NA,NA,NA,"0.2921","NULL","NULL","NULL","NULL",1
"202",202,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034","0.371","NULL","NULL","0.3123644252","0.3264",NA,"0.4611",NA,NA,NA,NA,NA,"0.3423","NULL","NULL","NULL","NULL",1
"203",203,"Academy of Chinese Culture and Health Sciences","Oakland","CA","94612","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"208",208,"American Baptist Seminary of the West","Berkeley","CA","94704-3029","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"209",209,"American Film Institute Conservatory","Los Angeles","CA","90027-1625","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"212",212,"American Conservatory Theater","San Francisco","CA","94108-5834","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"216",216,"Art Center College of Design","Pasadena","CA","91103","0.6686","NULL","NULL","0.3710691824",NA,NA,NA,NA,NA,NA,NA,NA,"0.7143","NULL","NULL","NULL","NULL",1
"219",219,"Azusa Pacific University","Azusa","CA","91702-7000","0.5872","600","27","0.2216088328","0.0106",NA,NA,"0.015","0.0097",NA,"0.0009",NA,"0.6221","NULL","NULL","NULL","NULL",1
"224",224,"Bethany University","Scotts Valley","CA","95066-2898","0.6163","500","22","0.2727272727",NA,NA,NA,NA,NA,NA,NA,NA,"0.4433","NULL","NULL","NULL","NULL",1
"225",225,"Bethesda University","Anaheim","CA","92801","0.4182","NULL","NULL","PrivacySuppressed","0.0435",NA,NA,NA,NA,NA,NA,NA,"0.8824","NULL","NULL","NULL","NULL",1
"226",226,"Biola University","La Mirada","CA","90639-0001","0.7771","620","NULL","0.4774193548","0.0011",NA,NA,"0.0219","0.0077",NA,"0.0011",NA,"0.6483","NULL","NULL","NULL","NULL",1
"227",227,"Brooks Institute","Ventura","CA","93001","0.967","NULL","NULL","0.397260274",NA,NA,NA,NA,NA,NA,NA,NA,"0.3906","NULL","NULL","NULL","NULL",1
"231",231,"Phillips Graduate Institute","Chatsworth","CA","91311","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"232",232,"California Institute of Integral Studies","San Francisco","CA","94103","NULL","NULL","NULL","0.6666666667",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"234",234,"California Baptist University","Riverside","CA","92504-3297","0.7075","550","19","0.425349087",NA,NA,NA,"0.0225","0.0042",NA,NA,NA,"0.5419","NULL","NULL","NULL","NULL",1
"235",235,"California College of the Arts","San Francisco","CA","94107-2247","0.7584","NULL","NULL","0.4797297297",NA,NA,NA,NA,NA,NA,NA,NA,"0.5412","NULL","NULL","NULL","NULL",1
"236",236,"University of California-Hastings College of Law","San Francisco","CA","94102-4978","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"237",237,"California Institute of Technology","Pasadena","CA","91125","0.1255","800","36","0.3298969072","0.099","0.3438",NA,"0.1094","0.1823",NA,"0.2448",NA,"0.9034","NULL","NULL","NULL","NULL",1
"238",238,"California Lutheran University","Thousand Oaks","CA","91360-2787","0.4719","610","26","0.4558232932","0.0268","0.0076",NA,"0.065","0.0076",NA,"0.0057",NA,"0.6517","NULL","NULL","NULL","NULL",1
"239",239,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407","0.3727","670","29","0.5106786901","0.0154","0.237",NA,"0.0551","0.0122",NA,"0.0132",NA,"0.7293","NULL","NULL","NULL","NULL",1
"240",240,"Alliant International University-San Diego","San Diego","CA","92131","NULL","NULL","NULL","0.8882175227",NA,NA,NA,NA,NA,NA,NA,NA,"0.2766","NULL","NULL","NULL","NULL",1
"241",241,"California State University-Bakersfield","Bakersfield","CA","93311-1099","0.7147","520","21","0.3239700375","0.0062",NA,NA,"0.0272","0.0086",NA,"0.0101",NA,"0.4295","NULL","NULL","NULL","NULL",1
"242",242,"California State University-Stanislaus","Turlock","CA","95382-0299","0.366","540","22","0.1078963231","0.0224",NA,NA,"0.0462","0.0161",NA,"0.0175",NA,"0.4946","NULL","NULL","NULL","NULL",1
"243",243,"California State University-San Bernardino","San Bernardino","CA","92407-2397","0.2335","500","20","0.3789967732","0.0134","0.0012",NA,"0.0238","0.0165",NA,"0.0142",NA,"0.4405","NULL","NULL","NULL","NULL",1
"244",244,"California State Polytechnic University-Pomona","Pomona","CA","91768","0.6133","620","25","0.0474852487","0.02","0.1444","0.0232","0.0566","0.0156",NA,"0.009",NA,"0.5664","NULL","NULL","NULL","NULL",1
"245",245,"California State University-Chico","Chico","CA","95929-0150","0.8137","570","24","0.4070315332","0.0298","0.0413","0.05","0.0264","0.0071",NA,"0.0068",NA,"0.6183","NULL","NULL","NULL","NULL",1
"246",246,"California State University-Dominguez Hills","Carson","CA","90747-0005","0.5897","470","18","0.2454545455","0.0028",NA,"0.0007","0.0255","0.0089",NA,"0.0041",NA,"0.3091","NULL","NULL","NULL","NULL",1
"247",247,"California State University-Fresno","Fresno","CA","93740","0.7194","540","23","0.3094471283","0.0035","0.0362","0.0177","0.0234","0.0122",NA,"0.013",NA,"0.5056","NULL","NULL","NULL","NULL",1
"248",248,"California State University-Fullerton","Fullerton","CA","92831-3599","0.5509","570","24","0.3536794067","0.006","0.0153",NA,"0.0293","0.0069",NA,"0.0059",NA,"0.5143","NULL","NULL","NULL","NULL",1
"249",249,"California State University-East Bay","Hayward","CA","94542","0.7331","520","21","0.2552910053","0.0164","0.0028",NA,"0.0473","0.0092",NA,"0.0036",NA,"0.4512","NULL","NULL","NULL","NULL",1
"250",250,"California State University-Long Beach","Long Beach","CA","90840-0115","0.3177","590","24","0.3713411134",NA,"0.0456","0.0107","0.0393","0.0095",NA,"0.0054",NA,"0.54","NULL","NULL","NULL","NULL",1
"251",251,"California State University-Los Angeles","Los Angeles","CA","90032","0.6722","490","20","0.1808619805","0.0231","0.0277",NA,"0.0326","0.014",NA,"0.0059",NA,"0.3735","NULL","NULL","NULL","NULL",1
"252",252,"California State University-Northridge","Northridge","CA","91330","0.7254","540","22","0.3221873912","0.0146","0.0233","0.0039","0.0366","0.0059",NA,"0.0051",NA,"0.4789","NULL","NULL","NULL","NULL",1
"253",253,"California State University-Sacramento","Sacramento","CA","95819-2694","0.8044","550","22","0.0811251529","0.0076","0.0395","0.01","0.0289","0.0072",NA,"0.0104",NA,"0.4202","NULL","NULL","NULL","NULL",1
"254",254,"University of California-Berkeley","Berkeley","CA","94720","0.2162","750","34","0.4764207981","0.011","0.1197",NA,"0.1183","0.0282",NA,"0.0316",NA,"0.911","NULL","NULL","NULL","NULL",1
"255",255,"University of California-Davis","Davis","CA","95616-8678","0.4737","680","30","0.4620240679","0.0066","0.0809",NA,"0.2193","0.0093",NA,"0.0187",NA,"0.8234","NULL","NULL","NULL","NULL",1
"256",256,"University of California-Irvine","Irvine","CA","92697","0.4415","670","30","0.4809160305","0.026","0.0756",NA,"0.1647","0.0126",NA,"0.0309",NA,"0.8257","NULL","NULL","NULL","NULL",1
"257",257,"University of California-Los Angeles","Los Angeles","CA","90095-1405","0.2187","720","33","0.6482744369","0.008","0.0762",NA,"0.1425","0.0273",NA,"0.0166",NA,"0.8979","NULL","NULL","NULL","NULL",1
"258",258,"University of California-Riverside","Riverside","CA","92521","0.8376","620","26","0.0905707196","0.0141","0.0502",NA,"0.1555","0.0163",NA,"0.0103",NA,"0.6808","NULL","NULL","NULL","NULL",1
"259",259,"University of California-San Diego","La Jolla","CA","92093","0.3621","720","32","0.5343223535","0.0159","0.1125",NA,"0.2179","0.0196",NA,"0.0372",NA,"0.8606","NULL","NULL","NULL","NULL",1
"260",260,"University of California-San Francisco","San Francisco","CA","94143-0244","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"261",261,"University of California-Santa Barbara","Santa Barbara","CA","93106","0.4815","670","29","0.5530227948","0.0082","0.036",NA,"0.0809","0.0206",NA,"0.022",NA,"0.7942","NULL","NULL","NULL","NULL",1
"262",262,"University of California-Santa Cruz","Santa Cruz","CA","95064-1011","0.6355","640","28","0.4885588117","0.0247","0.0146",NA,"0.137","0.0132",NA,"0.0295",NA,"0.7418","NULL","NULL","NULL","NULL",1
"263",263,"Sofia University","Palo Alto","CA","94303","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"265",265,"California Christian College","Fresno","CA","93727","1","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.1333","NULL","NULL","NULL","NULL",1
"266",266,"California College-San Diego","San Diego","CA","92108-3824","NULL","NULL","NULL","0.4306569343",NA,NA,"0.0328",NA,NA,NA,NA,NA,"0.6246","NULL","NULL","NULL","NULL",1
"269",269,"California Institute of the Arts","Valencia","CA","91355-2397","0.1565","NULL","NULL","0.7676348548",NA,NA,NA,NA,NA,NA,NA,NA,"0.6497","NULL","NULL","NULL","NULL",1
