"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"37","University of Mobile","Mobile","AL","36613-2842","0.7125","680","24","0.4059405941","0.0067","0","0","0.0368","0.01","0","0","0","0.4904","NULL","NULL","NULL","NULL",1
"38","University of Montevallo","Montevallo","AL","35115-6000","0.8729","550","24","0.3741258741","0","0","0","0.0552","0.0307","0","0.0123","0","0.4493","NULL","NULL","NULL","NULL",1
"39","Northwest-Shoals Community College","Muscle Shoals","AL","35661","NULL","NULL","NULL","0.0835443038","0.0053","0","0.0438","0","0","0","0","0.0027","NULL","NULL","NULL","NULL","NULL",2
"40","University of North Alabama","Florence","AL","35632-0001","0.8092","530","25","0.3267973856","0.0137","0","0","0.0378","0.0011","0","0.0137","0","0.3216","NULL","NULL","NULL","NULL",1
"41","Northeast Alabama Community College","Rainsville","AL","35986","NULL","NULL","NULL","0.2358554874","0.0214","0","0.0643","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"42","Oakwood University","Huntsville","AL","35896","0.3435","510","22","0.2782608696","0.0139","0","0","0.2028","0.0194","0","0.0083","0","0.3632","NULL","NULL","NULL","NULL",1
"43","Alabama Southern Community College","Monroeville","AL","36460","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1528","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"44","Prince Institute-Southeast","Elmhurst","IL","60126","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"45","Reid State Technical College","Evergreen","AL","36401","NULL","NULL","NULL","0.0700483092","0.0741","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"46","Bishop State Community College","Mobile","AL","36603-5898","NULL","NULL","NULL","0.083626142","0.0258","0","0.0801","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"47","Samford University","Birmingham","AL","35229-2240","0.7697","610","27","0.6192468619","0.0073","0","0","0.0482","0.0073","0","0.0044","0","0.692","NULL","NULL","NULL","NULL",1
"48","Selma University","Selma","AL","36701","NULL","NULL","NULL","0.0689655172","0","0","0","0","0","0","0","0","0.2133","NULL","NULL","NULL","NULL",1
"49","Shelton State Community College","Tuscaloosa","AL","35405-8522","NULL","NULL","NULL","0.0713896458","0","0","0.0478","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"50","Snead State Community College","Boaz","AL","35957-0734","NULL","NULL","NULL","0.0762711864","0.0465","0","0.0127","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"51","University of South Alabama","Mobile","AL","36688-0002","0.8604","565","25","0.3075428941","0.0262","0.0656","0","0.0641","0.0096","0","0.0252","0","0.3342","NULL","NULL","NULL","NULL",1
"52","Spring Hill College","Mobile","AL","36608-1791","0.4627","600","26","0.4","0","0.0047","0","0.0755","0.0283","0","0.0142","0","0.5632","NULL","NULL","NULL","NULL",1
"53","Southeastern Bible College","Birmingham","AL","35244-2083","0.9615","NULL","24","0.2168674699","0","0","0","0","0","0","0","0","0.1935","NULL","NULL","NULL","NULL",1
"54","Stillman College","Tuscaloosa","AL","35401","0.43","438","18","0.1895424837","0","0","0","0.2263","0.0219","0","0","0","0.2619","NULL","NULL","NULL","NULL",1
"55","Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2192982456","0.0256","0","0","0.0897","0","0","0.0128","0","0.824","NULL","NULL","NULL","NULL",1
"56","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","NULL","NULL","NULL","0.0801944107","0.042","0","0.0531","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"57","Troy University","Troy","AL","36082-0001","0.6821","NULL","24","0.1963374362","0.0413","0","0.003","0.0193","0.0087","0","0.0048","0","0.3466","NULL","NULL","NULL","NULL",1
"58","Tuskegee University","Tuskegee","AL","36088-1920","0.3511","520","22","0.4089012517","0.0174","0.1512","0","0.0698","0.0145","0","0.0087","0","0.4384","NULL","NULL","NULL","NULL",1
"59","United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.3378378378","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"60","Bevill State Community College","Jasper","AL","35501","NULL","NULL","NULL","0.1691648822","0.0138","0","0.0512","0","0","0","0","0.0028","NULL","NULL","NULL","NULL","NULL",2
"61","University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.1952932912","0.0281","0.0396","0.0548","0.0181","0.0062","0","0.0072","0.0091","0.2547","NULL","NULL","NULL","NULL",1
"62","Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"63","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.202609363","0.0037","0.0688","0.0456","0.0391","0.0074","0","0.026","0.0009","0.309","NULL","NULL","NULL","NULL",1
"64","University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.2517162471","0.0109","0.0109","0.0109","0.0545","0.0027","0","0","0","0.1389","NULL","NULL","NULL","NULL",1
"65","Alaska Pacific University","Anchorage","AK","99508","0.3745","510","23","0.3421052632","0","0","0","0.1375","0","0","0.025","0","0.3902","NULL","NULL","NULL","NULL",1
"66","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","0.4888","NULL","NULL","0.5169491525","0.0918","0","0.0411","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"67","Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.5152625153","0.0828","0","0.0622","0","0","0","0","0","0.3534","NULL","NULL","NULL","NULL",1
"68","Prince William Sound Community College","Valdez","AK","99686-0097","NULL","NULL","NULL","0.1952932912","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"69","Alaska Career College","Anchorage","AK","99507-1033","NULL","NULL","NULL","0.6928104575","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"70","Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.1761918863","0","0","0","0","0","0","0","0","0.3175","NULL","NULL","NULL","NULL",1
"71","Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2608030593","0.0683","0","0","0","0","0","0","0","0.3773","NULL","NULL","NULL","NULL",1
"72","Empire Beauty School-Paradise Valley","Phoenix","AZ","85032","NULL","NULL","NULL","0.5492180313","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"73","Empire Beauty School-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.4760914761","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"74","Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"75","American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.5","NULL","NULL","NULL","NULL",1
"76","American Institute of Technology","Phoenix","AZ","85043-4729","NULL","NULL","NULL","0.6953797964","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"77","Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.6865397845","0","0","0","0","0","0","0","0","0.6443","NULL","NULL","NULL","NULL",1
"78","Carrington College-Mesa","Mesa","AZ","85210","1","NULL","NULL","0.6865397845","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"79","Carrington College-Tucson","Tucson","AZ","85745","1","NULL","NULL","0.6865397845","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"80","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.466083151","0.0253","0","0","0","0","0","0","0","0.4667","NULL","NULL","NULL","NULL",1
"81","Arizona Academy of Beauty-East","Tucson","AZ","85712","NULL","NULL","NULL","0.6896551724","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"82","Arizona Automotive Institute","Glendale","AZ","85301-3579","NULL","NULL","NULL","0.6442239546","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"83","Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.4836313618","0","0","0","0","0","0","0","0","0.4664","NULL","NULL","NULL","NULL",1
"84","Arizona State University-Tempe","Tempe","AZ","85287","0.8023","650","28","0.533613136","0.0273","0.0669","0.0002","0.0746","0.0111","0","0.0091","0","0.5947","NULL","NULL","NULL","NULL",1
"85","Arizona Western College","Yuma","AZ","85365-8834","NULL","NULL","NULL","0.0751708428","0.0129","0.0018","0.0118","0.0112","0.0029","0","0.0035","0","NULL","NULL","NULL","NULL","NULL",2
"86","University of Arizona","Tucson","AZ","85721-0066","0.7692","630","NULL","0.4884854597","0.0123","0.052","0.0097","0.0984","0.0126","0","0.0254","0.0038","0.6139","NULL","NULL","NULL","NULL",1
"87","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.0967741935","0","0","0","0","0","0","0","0","0.8333","NULL","NULL","NULL","NULL",1
"88","Brillare Hairdressing Academy","Scottsdale","AZ","85254","NULL","NULL","NULL","0.6818181818","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"89","Central Arizona College","Coolidge","AZ","85128-9030","NULL","NULL","NULL","0.1166950596","0.0619","0","0.0152","0.0018","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"90","Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.3725579628","0.0717","0","0.13","0","0","0","0","0","0.1622","NULL","NULL","NULL","NULL",1
"91","Charles of Italy Beauty College","Lake Havasu City","AZ","86403","NULL","NULL","NULL","0.5890410959","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"92","Cochise County Community College District","Douglas","AZ","85607-6190","NULL","NULL","NULL","0.0779661017","0.0462","0.002","0.0211","0.002","0.0025","0.2418","0.0014","0","NULL","NULL","NULL","NULL","NULL",2
"93","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004","NULL","NULL","NULL","0.4917127072","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"94","Empire Beauty School-Chandler","Chandler","AZ","85224","NULL","NULL","NULL","0.4917127072","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"95","Cortiva Institute-Tucson","Tucson","AZ","85710","NULL","NULL","NULL","0.7455621302","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"96","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210","NULL","NULL","NULL","0.5105263158","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"97","Eastern Arizona College","Thatcher","AZ","85552-0769","NULL","NULL","NULL","0.11003861","0.0096","0.0037","0.0089","0.0044","0.0037","0","0.0007","0","NULL","NULL","NULL","NULL","NULL",2
"98","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.7898","650","29","0.330989011","0.003","0.3576","0","0","0","0","0.0727","0","0.5915","NULL","NULL","NULL","NULL",1
"99","Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"100","Glendale Community College","Glendale","AZ","85302","NULL","NULL","NULL","0.0023041475","0.0163","0","0.0092","0.0006","0","0","0.0412","0","NULL","NULL","NULL","NULL","NULL",2
"101","Grand Canyon University","Phoenix","AZ","85017","0.548","NULL","NULL","0.1706226145","0","0","0","0.0205","0","0","0","0","0.3036","NULL","NULL","NULL","NULL",1
"102","Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.600277585","0.0058","0","0.0073","0","0","0","0","0","0.7996","NULL","NULL","NULL","NULL",1
"103","International Academy of Hair Design","Tempe","AZ","85282-6730","NULL","NULL","NULL","0.6536585366","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"104","Kaplan College-Phoenix","Phoenix","AZ","85029","NULL","NULL","NULL","0.5741127349","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"105","GateWay Community College","Phoenix","AZ","85034","NULL","NULL","NULL","0.1033506371","0.0069","0","0.0232","0","0","0","0.0081","0","NULL","NULL","NULL","NULL","NULL",2
"106","Mesa Community College","Mesa","AZ","85202","NULL","NULL","NULL","0.004640045","0.0372","0.0002","0.0205","0.0016","0","0","0.04","0","NULL","NULL","NULL","NULL","NULL",2
"107","ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.9703","NULL","NULL","0.3599931422","0.3253","0","0.3434","0","0","0","0","0","0.2182","NULL","NULL","NULL","NULL",1
"108","ITT Technical Institute-Tempe","Tempe","AZ","85282","0.9796","NULL","NULL","0.3599931422","0.3056","0","0.4008","0","0","0","0","0","0.25","NULL","NULL","NULL","NULL",1
"109","Mohave Community College","Kingman","AZ","86409-1238","NULL","NULL","NULL","0.1599056604","0.0492","0.0011","0","0.0089","0.0034","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"110","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027","NULL","NULL","NULL","0.660908695","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"111","Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","0.0662068966","0","0","0","0.0455","0","0","0","0","0.0205","NULL","NULL","NULL","NULL",1
"112","Northern Arizona University","Flagstaff","AZ","86011-4092","0.9137","580","26","0.4530207738","0.0057","0.0384","0","0.0566","0.0041","0","0.0244","0.0283","0.4924","NULL","NULL","NULL","NULL",1
"113","Northland Pioneer College","Holbrook","AZ","86025-0610","NULL","NULL","NULL","PrivacySuppressed","0.0366","0","0.039","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"114","Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.3536945813","0","0","0","0","0.0101","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"115","Phoenix College","Phoenix","AZ","85013","NULL","NULL","NULL","0.0215113072","0.0075","0","0.0066","0","0","0","0.0259","0","NULL","NULL","NULL","NULL","NULL",2
"116","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257","NULL","NULL","NULL","0.7482993197","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"117","University of Phoenix-Phoenix Campus","Tempe","AZ","85282-2371","NULL","NULL","NULL","0.1818239118","0.063","0","0","0","0","0","0","0","0.1568","NULL","NULL","NULL","NULL",1
"118","Pima Community College","Tucson","AZ","85709-1275","NULL","NULL","NULL","0.098914806","0.0213","0.0039","0.0086","0","0","0","0","0.0009","NULL","NULL","NULL","NULL","NULL",2
"119","Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.6909453729","0","0","0","0","0","0","0","0","0.6189","NULL","NULL","NULL","NULL",1
"120","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110","NULL","NULL","NULL","0.6909453729","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"121","Prescott College","Prescott","AZ","86301","0.7293","600","27","0.2671755725","0","0","0","0.0574","0","0","0","0","0.3768","NULL","NULL","NULL","NULL",1
"122","Refrigeration School Inc","Phoenix","AZ","85034-1816","NULL","NULL","NULL","0.7868217054","0","0","0.9979","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"123","Rio Salado College","Tempe","AZ","85281","NULL","NULL","NULL","0.0272924188","0.1115","0","0","0","0","0","0.0016","0","NULL","NULL","NULL","NULL","NULL",2
"124","Roberto-Venn School of Luthiery","Phoenix","AZ","85007","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"125","Hair Academy of Safford","Safford","AZ","85546","NULL","NULL","NULL","0.7254901961","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"126","Scottsdale Community College","Scottsdale","AZ","85256","NULL","NULL","NULL","0.00723589","0.0289","0","0.0067","0","0","0","0.0335","0","NULL","NULL","NULL","NULL","NULL",2
"127","South Mountain Community College","Phoenix","AZ","85042","NULL","NULL","NULL","PrivacySuppressed","0.0694","0","0","0","0","0","0.0259","0","NULL","NULL","NULL","NULL","NULL",2
"128","Arizona Christian University","Phoenix","AZ","85032-7097","0.6076","600","26","0.3246753247","0","0","0","0.0119","0","0","0","0","0.4737","NULL","NULL","NULL","NULL",1
"129","Tucson College","Tucson","AZ","85711","NULL","NULL","NULL","0.5755166932","0","0","0.0031","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"130","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323","NULL","NULL","NULL","0.6178266178","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"131","Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.1570743405","0.0509","0","0","0","0","0","0","0","0.1883","NULL","NULL","NULL","NULL",1
"132","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051","NULL","NULL","NULL","0.4331641286","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"133","Yavapai College","Prescott","AZ","86301","NULL","NULL","NULL","0.2956298201","0.0506","0","0.0008","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"134","University of Arkansas at Little Rock","Little Rock","AR","72204","0.5274","480","26","0.2762495157","0.0229","0.0229","0.0353","0.0366","0.0092","0","0.0183","0","0.2438","NULL","NULL","NULL","NULL",1
"135","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7603686636","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"136","ABC Beauty College Inc","Arkadelphia","AR","71923","NULL","NULL","NULL","0.4791666667","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"137","Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.1113689095","0","0","0","0","0","0","0","0","0.1588","NULL","NULL","NULL","NULL",1
"138","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","NULL","NULL","NULL","0.48","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"139","Arkansas Beauty College","Russellville","AR","72801","NULL","NULL","NULL","0.5806451613","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"140","Lyon College","Batesville","AR","72501","0.5898","610","24","0.3403361345","0.0083","0","0","0.1917","0.0833","0","0.0333","0","0.4965","NULL","NULL","NULL","NULL",1
"141","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","NULL","NULL","NULL","0.6794871795","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"142","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","NULL","NULL","NULL","0.6774193548","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"143","University of Arkansas","Fayetteville","AR","72701","0.5858","630","27","0.4671532847","0.0057","0.0929","0","0.0463","0.0069","0","0.0317","0","0.601","NULL","NULL","NULL","NULL",1
"144","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.277","493","20","0.2270450751","0.0279","0","0.066","0.0812","0.0051","0","0.0152","0","0.2583","NULL","NULL","NULL","NULL",1
"145","Arkansas State University-Beebe","Beebe","AR","72012-1000","NULL","NULL","NULL","0.2629272568","0","0","0.0612","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"146","Arkansas State University-Main Campus","Jonesboro","AR","72401","0.7551","548","26","0.3559648158","0.0147","0.0348","0.0112","0.0241","0.004","0","0.0138","0","0.3698","NULL","NULL","NULL","NULL",1
"147","Arkansas Tech University","Russellville","AR","72801-2222","0.8503","520","25","0.3716640502","0.0191","0.026","0.0191","0.01","0.0026","0","0.0139","0","0.4025","NULL","NULL","NULL","NULL",1
"148","University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1782708493","0","0","0.0826","0.0129","0.0026","0","0.0039","0","0.2804","NULL","NULL","NULL","NULL",1
"149","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","NULL","NULL","NULL","0.5175438596","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"150","Baptist Health College-Little Rock","Little Rock","AR","72210-2820","0.8615","NULL","23","0.630480167","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
