"","X.1","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"21",1279,1279,"Rose-Hulman Institute of Technology","Terre Haute","IN","47803-3920",0.6547,730,34,0.7253333333,0.07,0.8768,0,0.0168,0.0112,0,0.0252,0,0.7648,74900,78500,79700,"NULL",1,0.5982142857,0.6723404255,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9726651481,"0.9239130435","0.9616306954",53902,0.7391304348,0.7058823529,0.7333333333
"99",3521,3521,"Brown University","Providence","RI","02912",0.096,770,34,0.8972895863,0.0331,0.0605,0,0.1279,0.058,0,0.0393,0,0.9515,87200,76600,81400,"NULL",1,0.7952755906,0.903803132,"0.9751937984","0.9158878505","0.9747572816",0.9676646707,"0.9275766017","0.9770290965",56150,0.8959537572,0.8873239437,0.9015544041
"1",37,37,"University of Mobile","Mobile","AL","36613-2842",0.8035,690,24,0.4178403756,0.0067,0,0,0.0133,0.0033,0,0,0,0.4266,36000,40000,38600,"NULL",1,0.4663212435,0.4861111111,"0.7804154303","0.6756756757","0.8172043011",0.7370030581,"0.5893909627","0.7948717949",28778,0.3715846995,0.4838709677,0.4201680672
"52",3271,3271,"Bryn Mawr College","Bryn Mawr","PA","19010",0.4136,720,33,0.8421052632,0.0131,0,0,0.085,0.0621,0,0.0817,0,0.8184,76900,61900,58900,"NULL",1,0.7901234568,0.8624338624,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",55714,NA,NA,0.8099173554
"61",3575,3575,"North Greenville University","Tigerville","SC","29688-1892",0.6049,670,30,0.3988326848,0,0,0,0.0411,0.0206,0,0,0,0.5442,30700,31900,32000,"NULL",1,0.4261744966,0.4720812183,"PrivacySuppressed","0.9487179487","0.9503311258",0.9489795918,"0.8859470468","0.9351032448",28526,0.3503184713,0.4285714286,0.4090909091
"51",3172,3172,"University of Tulsa","Tulsa","OK","74104-3189",0.4072,700,31,0.5365344468,0.0258,0.2124,0.0516,0.0546,0.0288,0,0.0425,0,0.6616,53600,53300,56900,"NULL",1,0.4974619289,0.568,"0.9312320917","0.7868338558","0.896",0.9555555556,"0.8492307692","0.925257732",44522,0.5064102564,0.4820143885,0.6032608696
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1333,1333,"University of Iowa","Iowa City","IA","52242-1316",0.7844,690,28,0.5645491803,0.0127,0.0588,0,0.0336,0.0132,0,0.0123,0,0.6981,66100,56100,57600,"NULL",1,0.6001308901,0.6748490946,"0.9447196871","0.880733945","0.9238648948",0.9264122894,"0.8282568807","0.9207816213",21120,0.5612691466,0.5432692308,0.5774358974
"121",2821,2821,"North Carolina State University at Raleigh","Raleigh","NC","27695-7001",0.5261,660,29,0.6233834785,0.0196,0.2261,0.0073,0.1015,0.0215,0,0.0217,0.0021,0.7062,55500,54700,55400,"NULL",1,0.5808202654,0.6483585859,"0.9543094496","0.9022738268","0.9406952965",0.9544846051,"0.8884852888","0.9368177307",19288,0.5712881023,0.6237885463,0.6554673183
"58",3500,3500,"Villanova University","Villanova","PA","19085-1699",0.4562,710,32,0.754,0.0074,0.1079,0,0.052,0.0234,0,0.0274,0,0.8805,81000,77400,87300,"NULL",1,0.693877551,0.7617370892,"0.9832935561","0.925257732","0.9828259173",0.9821958457,"0.9481981982","0.9734693878",54173,0.6524390244,0.7315789474,0.786377709
"41",2474,2474,"Colgate University","Hamilton","NY","13346-1398",0.2935,720,33,0.8785714286,0.0208,0,0,0.126,0.0235,0,0.036,0,0.8964,72600,68400,79500,"NULL",1,0.6086956522,0.8743455497,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9671052632,"PrivacySuppressed","PrivacySuppressed",55570,NA,NA,0.9122807018
"120",2772,2772,"Elon University","Elon","NC","27244-2010",0.5168,660,29,0.6863057325,0.0114,0.0114,0,0.0394,0.014,0,0.007,0,0.834,55100,47900,55600,"NULL",1,0.6322580645,0.6979865772,"0.976635514","0.9467213115","0.9749303621",0.9753246753,"0.9172932331","0.9844683393",40471,0.6382978723,0.6725663717,0.7007125891
"88",1884,1884,"University of Michigan-Flint","Flint","MI","48502-1950",0.7381,750,25,0.3157315732,0.0307,0.0112,0,0.0651,0.0065,0,0.0047,0,0.3747,39300,44200,46400,"NULL",1,0.4039580908,0.4628820961,"0.7723995881","0.597568778","0.7287405813",0.7847985348,"0.6167901235","0.7374631268",15262,0.2878440367,0.33,0.3542600897
"79",1052,1052,"University of Chicago","Chicago","IL","60637",0.1322,790,35,0.8371104816,0.0072,0,0,0.1151,0.0709,0,0.0612,0,0.9197,96500,103500,91200,"NULL",1,0.8318965517,0.924260355,"0.9568733154","0.8829787234","0.9563758389",0.9715909091,"0.9347826087","0.9709480122",59950,0.8766233766,0.8502673797,0.8136986301
"48",2816,2816,"University of North Carolina at Chapel Hill","Chapel Hill","NC","27599",0.3297,700,32,0.7573529412,0.0135,0,0,0.0913,0.022,0,0.0436,0,0.8936,60700,57400,64200,"NULL",1,0.5692963753,0.7623239437,"0.9693290735","0.9358139535","0.9607717042",0.9561734213,"0.9064587973","0.9558905639",21251,0.6947852761,0.7426810478,0.8071216617
"84",1701,1701,"Brandeis University","Waltham","MA","02454-9110",0.3911,740,33,0.8707865169,0.0241,0,0,0.1324,0.0205,0,0.0277,0,0.8992,54400,71000,68700,"NULL",1,0.8108108108,0.8735955056,"0.9569471624","0.9009009009","0.9544364508",0.9439102564,"0.8759398496","0.9412955466",56395,0.8272727273,0.9009009009,0.875399361
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1852,1852,"Kettering University","Flint","MI","48504-6214",0.6203,690,31,0.4228723404,0.0415,0.8783,0,0.0178,0.0208,0,0.0178,0,0.5642,69900,73900,76200,"NULL",1,0.4863013699,0.5159574468,"PrivacySuppressed","0.9244604317","0.9667359667",NA,"0.9233128834","0.9598214286",45315,0.3648648649,0.4414414414,0.4345549738
"57",3445,3445,"University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA","15260",0.5786,690,31,0.6197926142,0.0232,0.105,0,0.0598,0.0156,0,0.0282,0,0.7898,50200,52200,60300,"NULL",1,0.5509568313,0.6546575787,"0.9493021346","0.8389588101","0.9269386883",0.9562440115,"0.8636259977","0.9441321152",29392,0.5137157107,0.5781729001,0.6932031543
"92",2476,2476,"Columbia University in the City of New York","New York","NY","10027",0.0695,790,35,0.7869623656,0.0257,0.1785,0,0.0628,0.0297,0,0.0317,0,0.9505,100800,90800,109200,"NULL",1,0.7188160677,0.9289405685,"0.9424216765","0.8430420712","0.9243986254",0.9452736318,"0.8533333333","0.9422382671",59208,0.7914572864,0.7564469914,0.8075801749
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1304,1304,"Cornell College","Mount Vernon","IA","52314-1098",0.5294,690,28,0.618729097,0.0423,0,0,0.1192,0.0385,0,0.05,0,0.7085,46500,48100,44800,"NULL",1,0.6043956044,0.6031746032,"0.9543726236","0.869047619","0.9221789883",0.925,"0.8810810811","0.921641791",44035,0.6551724138,0.597826087,0.6174496644
"78",934,934,"Georgia Institute of Technology-Main Campus","Atlanta","GA","30332-0530",0.5118,760,34,0.6482326112,0.0627,0.5788,0,0.0456,0.0143,0,0.024,0,0.7932,82200,83100,78500,"NULL",1,0.6310096154,0.7197740113,"0.9770378875","0.9223404255","0.966226138",0.9823725584,"0.9430693069","0.9782608696",20859,0.5986547085,0.6312364425,0.6835891381
"42",2521,2521,"Fordham University","Bronx","NY","10458",0.4292,680,30,0.7024329382,0.0229,0.0042,0,0.0292,0.0078,0,0.0094,0,0.8103,54700,63100,69500,"NULL",1,0.6954397394,0.7837209302,"0.9258849558","0.8111954459","0.9245773732",0.949013949,"0.8767482517","0.948255814",54489,0.578817734,0.6715976331,0.772991851
"125",4140,4140,"University of Puget Sound","Tacoma","WA","98416",0.5374,660,30,0.7632575758,0.0148,0,0,0.1285,0.0329,0,0.0247,0,0.7696,54000,53100,57100,"NULL",1,0.744047619,0.8050847458,"0.9683655536","0.8867924528","0.9705882353",0.9566563467,"0.9228395062","0.9533980583",51877,0.8156028369,0.7737226277,0.728
"96",2924,2924,"Case Western Reserve University","Cleveland","OH","44106",0.5432,760,34,0.8407155026,0.0424,0.272,0,0.1295,0.0152,0,0.0718,0,0.7813,82800,80900,76300,"NULL",1,0.7526132404,0.8654822335,"0.9764011799","0.9158415842","0.9701986755",0.9586681975,"0.9353612167","0.9546120059",54133,0.8940936864,0.8496503497,0.7682619647
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",3907,3907,"The University of Texas at Dallas","Richardson","TX","75080-3021",0.5196,710,32,0.5621912887,0.0421,0.0818,0,0.113,0.0122,0,0.015,0,0.6382,54200,58100,60100,"NULL",1,0.5996275605,0.638952164,"0.8940744625","0.8212739641","0.8635153129",0.8907933399,"0.8119001919","0.8571428571",21430,0.5433526012,0.5712074303,0.5874769797
"15",725,725,"George Washington University","Washington","DC","20052",0.33,690,31,0.7137858642,0.014,0.0365,0,0.0365,0.0058,0,0.0101,0,0.7963,87900,78800,73400,"NULL",1,0.7090909091,0.7508992806,"0.9648275862","0.908952959","0.9563350036",0.9698613623,"0.9361702128","0.9599737533",57148,0.6595744681,0.7053824363,0.7416331995
"83",1698,1698,"Boston College","Chestnut Hill","MA","02467",0.2881,740,33,0.8845228549,0.0159,0,0,0.089,0.0193,0,0.0193,0,0.9219,83100,82200,87900,"NULL",1,0.8571428571,0.9498098859,"0.9640831758","0.901459854","0.9667440062",0.9814716781,"0.9479166667","0.9759119064",56708,0.807860262,0.8776978417,0.9108108108
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",3282,3282,"Carnegie Mellon University","Pittsburgh","PA","15213-3890",0.2777,790,34,0.7927135678,0.1159,0.2652,0,0.0423,0.0542,0,0.0587,0,0.8677,87700,96000,99900,"NULL",1,0.7182539683,0.835443038,"0.9820426487","0.9389312977","0.9837092732",NA,"PrivacySuppressed","PrivacySuppressed",57520,0.7481481481,0.8109452736,0.797826087
"80",1092,1092,"University of Illinois at Urbana-Champaign","Champaign","IL","61820-5711",0.6334,790,32,0.751659751,0.0242,0.1668,0,0.0715,0.0179,0,0.026,0,0.8396,60800,62800,68000,"NULL",1,0.6896168795,0.8042306097,"0.9618243922","0.8962439569","0.9571944301",0.9455464072,"0.8792756539","0.9456026839",27628,0.7023923445,0.7361867704,0.7803212851
"118",2353,2353,"New Jersey Institute of Technology","Newark","NJ","07102",0.6366,660,29,0.4257261411,0.1619,0.3505,0.147,0.0467,0.0199,0,0.0159,0,0.5447,66600,66000,69100,"NULL",1,0.4713584288,0.534375,"0.9332161687","0.8473895582","0.9064885496",0.9275700935,"0.862332696","0.9089552239",25331,0.4229166667,0.4055555556,0.4493150685
"33",1979,1979,"University of Minnesota-Morris","Morris","MN","56267",0.5985,670,27,0.5191256831,0.0292,0,0,0.1257,0.0409,0,0.0585,0,0.6048,36900,40800,45300,"NULL",1,0.4293193717,0.5189873418,"0.9401993355","0.7887323944","0.9375",0.9431818182,"0.8321678322","0.9191919192",22328,0.4395604396,0.5433070866,0.5472972973
"7",260,260,"University of California-Santa Barbara","Santa Barbara","CA","93106",0.4631,680,30,0.6221384325,0.0159,0.0364,0,0.0836,0.0185,0,0.0252,0,0.8022,56800,56700,60100,"NULL",1,0.5584487535,0.6505728314,"0.9363636364","0.8632514818","0.932952183",0.9180875961,"0.8634964078","0.9181818182",31603,0.5625,0.6479779412,0.6640316206
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",258,258,"University of California-San Diego","La Jolla","CA","92093",0.3535,710,32,0.5768739353,0.028,0.1076,0,0.2294,0.0199,0,0.0378,0,0.8625,70400,68300,69400,"NULL",1,0.606405694,0.7077977721,"0.9518792711","0.9006292606","0.9503407984",0.9484686437,"0.9117905851","0.9512987013",29194,0.5349386213,0.5892086331,0.6372053872
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2637,2637,"University of Rochester","Rochester","NY","14627-0011",0.3532,740,33,0.781779661,0.0192,0.1135,0,0.1265,0.0492,0,0.0438,0,0.854,105500,71400,67000,"NULL",1,0.7486187845,0.8416801292,"0.96484375","0.9220779221","0.9520547945",0.9342934293,"0.8694029851","0.9342379958",56760,0.7351598174,0.75,0.8191268191
"122",3010,3010,"Miami University-Oxford","Oxford","OH","45056",0.728,660,29,0.4956337655,0.008,0.0332,0.021,0.0607,0.0105,0,0.0134,0,0.7989,38900,50900,60500,"NULL",1,0.442207308,0.6487579434,"0.9305912596","0.6555238483","0.8963245492",0.897255903,"0.6014415376","0.8791068581",30536,0.2777300086,0.4862869198,0.6528776978
"30",1882,1882,"Michigan Technological University","Houghton","MI","49931-1295",0.7525,690,30,0.5310509554,0.0604,0.5338,0.04,0.0385,0.022,0,0.0243,0,0.6612,56800,60600,66600,"NULL",1,0.5572033898,0.4703296703,"0.9785575049","0.8983050847","0.9559286464",0.9697286013,"0.887195122","0.9539594843",25157,0.4679245283,0.5115681234,0.5714285714
"20",1219,1219,"DePauw University","Greencastle","IN","46135-1772",0.6153,680,29,0.7507598784,0.0441,0,0,0.1102,0.024,0,0.024,0,0.7765,54200,49800,63700,"NULL",1,0.631147541,0.8524590164,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9647355164,"0.8941798942","0.9432835821",48800,0.6557377049,0.7065217391,0.8068181818
"68",3923,3923,"Trinity University","San Antonio","TX","78212-7200",0.6431,670,30,0.7723076923,0.0285,0.0499,0,0.1248,0.0125,0,0.0481,0,0.7955,59600,63800,70500,"NULL",1,0.7375,0.785,"0.9688311688","0.9194630872","0.9577039275",NA,"PrivacySuppressed","PrivacySuppressed",44422,NA,NA,0.76
"105",286,286,"Chapman University","Orange","CA","92866",0.4359,660,29,0.4706150342,0.0131,0,0,0.0228,0.0061,0,0.0035,0,0.7227,47300,53100,55600,"NULL",1,0.5386702849,0.5080106809,"0.8949852507","0.8141447368","0.8838203849",0.8995521433,"0.7841051314","0.896031746",55395,0.4676850764,0.4059405941,0.527100271
"66",3906,3906,"The University of Texas at Austin","Austin","TX","78712",0.4675,710,32,0.6702783486,0.0207,0.1117,0,0.0874,0.0206,0,0.0245,0,0.7867,64600,61600,66700,"NULL",1,0.6343949045,0.7464511041,"0.942341762","0.8603327496","0.9286575078",0.9440417512,"0.8832831325","0.9437696806",24525,0.6017804154,0.6940667491,0.707804878
"8",460,460,"Occidental College","Los Angeles","CA","90041-3392",0.3932,700,32,0.8422939068,0,0,0,0.1186,0.0201,0,0.0336,0,0.8428,53600,54100,55600,"NULL",1,0.7575757576,0.7954545455,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9591194969,"PrivacySuppressed","PrivacySuppressed",58343,0.8292682927,0.8351648352,0.858490566
"39",2401,2401,"New Mexico Institute of Mining and Technology","Socorro","NM","87801",0.7083,700,29,0.2524271845,0.0439,0.639,0,0.039,0.078,0,0.0927,0,0.4716,63800,57600,60400,"NULL",1,0.2338709677,0.1830985915,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"0.8630136986","0.8907563025",17172,0.2368421053,0.2419354839,0.2794117647
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",3943,3943,"Brigham Young University-Provo","Provo","UT","84602",0.5491,690,31,0.385465443,0.0211,0.0646,0,0.1133,0.0105,0,0.0124,0,0.7742,72900,60000,58100,"NULL",1,0.4168190128,0.563559322,"0.9774250441","0.9537524232","0.9618834081",0.9666319082,"0.9368821293","0.9383634431",16231,0.3558041112,0.3743693239,0.4903846154
"114",1245,1245,"Indiana University-Bloomington","Bloomington","IN","47405-7000",0.7441,660,29,0.1594123049,0.0312,0,1e-04,0.0685,0.0092,0,0.0136,0,0.7533,49300,49900,56300,"NULL",1,0.2395437262,0.3058608059,"0.9577878707","0.8481870552","0.9249300925",0.9406234537,"0.8236613401","0.9255083179",22049,0.1528424977,0.147751606,0.1672837428
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",3755,3755,"Baylor University","Waco","TX","76798",0.6065,670,29,0.6005199307,0.0267,0.0313,0,0.1159,0.003,0,0.016,0,0.7463,51900,52400,56700,"NULL",1,0.3604060914,0.3101321586,"0.9250520472","0.8031496063","0.9105206074",0.9388971684,"0.8455339154","0.9222050489",45011,0.5,0.5871559633,0.6593806922
"81",1155,1155,"Northwestern University","Evanston","IL","60208",0.1803,780,35,0.8238482385,0.0121,0.1269,0,0.0447,0.0225,0,0.0125,0,0.9296,92700,89900,85500,"NULL",1,0.7557471264,0.8935427574,"0.9677679291","0.9201680672","0.9608695652",0.9698708752,"0.9274047187","0.9709480122",58829,0.7258883249,0.796875,0.8639143731
"18",1097,1097,"Illinois Institute of Technology","Chicago","IL","60616",0.5433,710,30,0.6288659794,0.0888,0.4884,0.0309,0.029,0.0174,0,0.0232,0,0.6826,83000,77900,68900,"NULL",1,0.6818181818,0.7632398754,"0.9543147208","0.8881355932","0.9121212121",0.9461538462,"0.9020501139","0.944606414",46731,0.6748971193,0.6196319018,0.5738636364
"76",555,555,"University of Southern California","Los Angeles","CA","90089",0.1993,760,34,0.8402695204,0.0068,0.0923,0,0.0643,0.0071,0,0.0064,0,0.9019,91300,78100,73400,"NULL",1,0.7744807122,0.8785811733,"0.9599851797","0.9127078385","0.9567650051",0.9634621144,"0.9354018311","0.9668269231",57772,0.8138686131,0.8614357262,0.8484573503
"12",602,602,"Colorado School of Mines","Golden","CO","80401",0.4455,710,33,0.6838709677,0,0.8793,0,0,0.0693,0,0.0347,0,0.6654,78800,81700,88100,"NULL",1,0.6126126126,0.6609589041,"PrivacySuppressed","0.9152542373","0.9608695652",NA,"0.9655172414","0.9771863118",26748,0.6363636364,0.7043010753,0.6941580756
"47",2733,2733,"Yeshiva University","New York","NY","10033-3299",0.8402,680,28,0.4975,0.0094,0.0012,0,0.0995,0.0258,0,0.0293,0,0.8403,76600,63600,61700,"NULL",1,0.4573643411,0.5721153846,"PrivacySuppressed","0.9069767442","0.9411764706",0.9020408163,"0.8793103448","0.9190031153",50330,0.4494382022,0.5168539326,0.509009009
"73",4376,4376,"Purdue University-Main Campus","West Lafayette","IN","47907-2040",0.6145,680,31,0.6033013845,0.0404,0.1783,0.0549,0.0297,0.0209,0,0.0205,0,0.6945,57800,57200,62600,"NULL",1,0.5371198569,0.6556921856,"0.970713073","0.8881798845","0.9428698951",0.9525541126,"0.8813209494","0.9439133206",22481,0.5376712329,0.5866922585,0.6386496728
"53",3272,3272,"Bucknell University","Lewisburg","PA","17837",0.2699,720,31,0.8543046358,0.0113,0.1531,0,0.1213,0.0249,0,0.0215,0,0.9045,78300,73000,78900,"NULL",1,0.8166666667,0.8695652174,"PrivacySuppressed","0.9441624365","0.9785992218",NA,"PrivacySuppressed","PrivacySuppressed",57140,0.7746478873,0.8490566038,0.8768115942
"38",2237,2237,"University of Nebraska-Lincoln","Lincoln","NE","68588",0.6437,680,28,0.5050666667,0.0067,0.1039,0.0255,0.0467,0.0056,0,0.0148,0,0.6463,47400,48000,51000,"NULL",1,0.5453938585,0.5524437122,"0.9585858586","0.8881775501","0.9302987198",0.9350688211,"0.8572499063","0.9009259259",19592,0.4532650448,0.481292517,0.5432236475
"28",1861,1861,"Hope College","Holland","MI","49422-9000",0.8508,670,29,0.637704918,0.0041,0.0434,0,0.0678,0.0041,0,0.0664,0,0.7738,39600,42400,49700,"NULL",1,0.6685714286,0.6203703704,"0.9701492537","0.9024390244","0.9566787004",0.957952468,"0.9095744681","0.9382113821",37540,0.5632183908,0.6172839506,0.6648199446
"25",1700,1700,"Boston University","Boston","MA","02215",0.4943,700,30,0.7602790015,0.0107,0.0678,0,0.0712,0.0097,0,0.0172,0,0.8391,75300,65500,69300,"NULL",1,0.2475409836,0.2936194241,"0.9702216066","0.9163108454","0.9615515481",0.946701847,"0.9029126214","0.9426857714",56842,0.6741071429,0.7450682853,0.7903525046
"4",254,254,"University of California-Davis","Davis","CA","95616-8678",0.4826,690,31,0.6218905473,0.0089,0.088,0,0.2004,0.0108,0,0.0316,0,0.8125,67200,66200,64600,"NULL",1,0.4907902555,0.6494421609,"0.9519832985","0.9002473207","0.9425182482",0.9399293286,"0.8853907135","0.9278350515",30771,0.5709711846,0.6116504854,0.6992907801
"44",2654,2654,"Skidmore College","Saratoga Springs","NY","12866",0.419,670,29,0.8277945619,0.0112,0,0,0.0578,0.0144,0,0.0433,0,0.8795,55200,46000,56300,"NULL",1,0.686440678,0.8491620112,"PrivacySuppressed","0.8372093023","0.9640522876",NA,"PrivacySuppressed","PrivacySuppressed",56500,NA,NA,0.8315217391
"116",1664,1664,"St Mary's College of Maryland","St. Mary's City","MD","20686-3001",0.6138,650,29,0.7170418006,0.0315,0,0,0.1351,0.0405,0,0.0315,0,0.8061,49100,47000,52600,"NULL",1,0.511627907,0.765,"0.9453376206","0.8412698413","0.9390243902",0.968,"0.9053254438","0.9598930481",28633,0.5882352941,0.7121212121,0.7525773196
