"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"13","Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.0405","NULL","NULL","NULL","NULL",1
"14","South University-Montgomery","Montgomery","AL","36116","0.9273","NULL","NULL","0.1982705374","0.092","0","0","0","0","0","0","0","0.2121","NULL","NULL","NULL","NULL",1
"15","Enterprise State Community College","Enterprise","AL","36330-1300","NULL","NULL","NULL","PrivacySuppressed","0.0427","0","0.0079","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"16","James H Faulkner State Community College","Bay Minette","AL","36507-2698","NULL","NULL","NULL","0.1015473888","0.0323","0","0.0023","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"17","Faulkner University","Montgomery","AL","36109-3390","0.5117","530","23","0.1562799616","0.0152","0","0","0.0061","0.0061","0","0","0","0.373","NULL","NULL","NULL","NULL",1
"18","Gadsden State Community College","Gadsden","AL","35903","NULL","NULL","NULL","0.0222032451","0.0107","0","0.1061","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"19","George C Wallace State Community College-Dothan","Dothan","AL","36303-9234","NULL","NULL","NULL","0.0402075227","0.0186","0","0.0452","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"20","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","NULL","NULL","NULL","0.2387419585","0.014","0","0.0201","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"21","George C Wallace State Community College-Selma","Selma","AL","36703-2808","NULL","NULL","NULL","0.0329489292","0.0133","0","0.0133","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"22","Herzing University-Birmingham","Birmingham","AL","35209","0.7907","NULL","NULL","0.3382099828","0","0","0.0491","0","0","0","0","0","0.2","NULL","NULL","NULL","NULL",1
"23","Huntingdon College","Montgomery","AL","36106-2148","0.6217","540","24","0.4296296296","0","0","0","0.1287","0.0198","0","0.005","0","0.474","NULL","NULL","NULL","NULL",1
"24","Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.6667","NULL","NULL","NULL","NULL",1
"25","J F Drake State Community and Technical College","Huntsville","AL","35811","NULL","NULL","NULL","0.0498442368","0.0983","0","0.0513","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"26","Jacksonville State University","Jacksonville","AL","36265","0.8397","530","23","0.2451726156","0.0179","0","0.0197","0.0286","0.0098","0","0.0027","0","0.3304","NULL","NULL","NULL","NULL",1
"27","Jefferson Davis Community College","Brewton","AL","36426","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1046","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"28","Jefferson State Community College","Birmingham","AL","35215-3098","NULL","NULL","NULL","0.123853211","0.0317","0","0.068","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"29","John C Calhoun State Community College","Tanner","AL","35671","NULL","NULL","NULL","0.0713905168","0.0085","0","0.0754","0","0","0.0068","0","0","NULL","NULL","NULL","NULL","NULL",2
"30","Judson College","Marion","AL","36756","0.8154","520","23","0.1904761905","0","0","0","0.087","0","0","0.0652","0","0.3913","NULL","NULL","NULL","NULL",1
"31","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","NULL","NULL","NULL","0.0387387387","0.02","0","0.127","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"32","University of West Alabama","Livingston","AL","35470","0.4052","NULL","23","0.2222222222","0","0","0.06","0.04","0.028","0","0.012","0","0.3144","NULL","NULL","NULL","NULL",1
"33","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","NULL","NULL","NULL","0.0507726269","0.0115","0","0.0316","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"34","Marion Military Institute","Marion","AL","36756-3207","0.4407","610","25","0.344","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"35","Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.0985074627","0.0468","0","0","0.1053","0.0058","0","0.0175","0","0.2412","NULL","NULL","NULL","NULL",1
"36","University of Mobile","Mobile","AL","36613-2842","0.746","598","25","0.4065281899","0.0033","0","0","0.0099","0.0033","0","0","0","0.4122","NULL","NULL","NULL","NULL",1
"37","University of Montevallo","Montevallo","AL","35115-6000","0.723","NULL","28","0.4219653179","0","0","0","0.0499","0.0159","0","0.0113","0","0.4078","NULL","NULL","NULL","NULL",1
"38","Northwest-Shoals Community College","Muscle Shoals","AL","35661","NULL","NULL","NULL","0.0404564315","0.0292","0","0.0247","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"39","University of North Alabama","Florence","AL","35632-0001","0.8685","563","23","0.352674524","0.0066","0","0","0.0339","0.0066","0","0.0273","0","0.3306","NULL","NULL","NULL","NULL",1
"40","Northeast Alabama Community College","Rainsville","AL","35986","NULL","NULL","NULL","0.087012987","0.0153","0","0.0496","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"41","Oakwood University","Huntsville","AL","35896","0.5112","520","19","0.2316513761","0.0281","0","0","0.1847","0.008","0","0","0","0.4028","NULL","NULL","NULL","NULL",1
"42","Alabama Southern Community College","Monroeville","AL","36460","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1508","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"43","Prince Institute-Southeast","Elmhurst","IL","60126","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"44","Reid State Technical College","Evergreen","AL","36401","NULL","NULL","NULL","PrivacySuppressed","0.027","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"45","Bishop State Community College","Mobile","AL","36603-5898","NULL","NULL","NULL","PrivacySuppressed","0.0149","0","0.0776","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"46","Samford University","Birmingham","AL","35229-2240","0.8669","620","27","0.6051282051","0.0104","0.0035","0","0.083","0.0104","0","0.0017","0","0.7338","NULL","NULL","NULL","NULL",1
"47","Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"48","Shelton State Community College","Tuscaloosa","AL","35405-8522","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0291","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"49","Snead State Community College","Boaz","AL","35957-0734","NULL","NULL","NULL","0.0466101695","0.0776","0","0.0287","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"50","University of South Alabama","Mobile","AL","36688-0002","0.8645","NULL","23","0.2972292191","0.0156","0.055","0","0.0533","0.0023","0","0.018","0","0.3631","NULL","NULL","NULL","NULL",1
"51","Spring Hill College","Mobile","AL","36608-1791","0.5307","580","25","0.4840764331","0","0.0038","0","0.0837","0.0038","0","0.0076","0","0.644","NULL","NULL","NULL","NULL",1
"52","Southeastern Bible College","Birmingham","AL","35244-2083","0.8696","NULL","23","0.1929824561","0","0","0","0","0","0","0","0","0.4643","NULL","NULL","NULL","NULL",1
"53","Stillman College","Tuscaloosa","AL","35401","0.4855","450","18","0.2033898305","0","0","0","0.1771","0.0104","0","0","0","0.2384","NULL","NULL","NULL","NULL",1
"54","Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.3333333333","0.0472","0","0","0.0943","0.0189","0","0.0094","0","0.1932","NULL","NULL","NULL","NULL",1
"55","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","NULL","NULL","NULL","0.0316831683","0.0513","0","0.0267","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"56","Troy University","Troy","AL","36082-0001","0.6951","NULL","22","0.1682692308","0.0457","0","0.0063","0.0163","0.0103","0","0.0031","0","0.3345","NULL","NULL","NULL","NULL",1
"57","Tuskegee University","Tuskegee","AL","36088-1920","0.5972","480","21","0.1843971631","0.0255","0.1253","0","0.1044","0.0093","0","0.0232","0","0.4636","NULL","NULL","NULL","NULL",1
"58","United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.1641791045","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"59","Bevill State Community College","Jasper","AL","35501","NULL","NULL","NULL","0.0388170055","0.0129","0","0.0439","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"60","University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.2004494382","0.0167","0.0412","0.0662","0.02","0.0072","0","0.0061","0.0106","0.2817","NULL","NULL","NULL","NULL",1
"61","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.1813125695","0.0143","0.0815","0.0474","0.0441","0.0077","0","0.0231","0","0.307","NULL","NULL","NULL","NULL",1
"62","University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1592592593","0.0143","0","0","0.0476","0.0333","0","0","0","0.2639","NULL","NULL","NULL","NULL",1
"63","Alaska Pacific University","Anchorage","AK","99508","0.3346","570","25","0.390625","0","0","0","0.09","0","0","0.03","0","0.2653","NULL","NULL","NULL","NULL",1
"64","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","0.3311","NULL","NULL","0.5865384615","0.0306","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"65","Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.3533834586","0.0853","0","0.045","0","0","0","0","0","0.8929","NULL","NULL","NULL","NULL",1
"66","Prince William Sound Community College","Valdez","AK","99686-0097","NULL","NULL","NULL","0.2004494382","0","0","0.1765","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"67","Alaska Career College","Anchorage","AK","99507-1033","NULL","NULL","NULL","0.7643678161","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"68","Everest College-Phoenix","Phoenix","AZ","85021-1641","0.4465","NULL","NULL","0.3216783217","0","0","0","0","0","0","0","0","0.4075","NULL","NULL","NULL","NULL",1
"69","Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2021447721","0.0695","0","0","0","0","0","0","0","0.4059","NULL","NULL","NULL","NULL",1
"70","Empire Beauty School-Paradise Valley","Phoenix","AZ","85032","NULL","NULL","NULL","0.4358974359","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"71","Empire Beauty School-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.6539589443","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"72","Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"73","American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.5333","NULL","NULL","NULL","NULL",1
"74","American Institute of Technology","Phoenix","AZ","85043-4729","NULL","NULL","NULL","0.6299212598","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"75","Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.6996280223","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"76","Carrington College-Mesa","Mesa","AZ","85210","1","NULL","NULL","0.6996280223","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"77","Carrington College-Tucson","Tucson","AZ","85745","1","NULL","NULL","0.6996280223","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"78","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.4157894737","0.2","0","0","0","0","0","0","0","0.6222","NULL","NULL","NULL","NULL",1
"79","Arizona Academy of Beauty-East","Tucson","AZ","85712","NULL","NULL","NULL","0.6666666667","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"80","Arizona Automotive Institute","Glendale","AZ","85301-3579","NULL","NULL","NULL","0.5346534653","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"81","Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.5538461538","0","0","0","0","0","0","0","0","0.3497","NULL","NULL","NULL","NULL",1
"82","Arizona State University-Tempe","Tempe","AZ","85287","0.905","620","27","0.4740389679","0.0178","0.0502","0.006","0.0548","0.0064","0","0.0056","0.0064","0.5867","NULL","NULL","NULL","NULL",1
"83","Arizona Western College","Yuma","AZ","85365-8834","NULL","NULL","NULL","PrivacySuppressed","0.0183","0.0056","0.0056","0.0056","0.0056","0","0.0024","0","NULL","NULL","NULL","NULL","NULL",2
"84","University of Arizona","Tucson","AZ","85721-0066","0.7536","610","NULL","0.4042790283","0.0117","0.0474","0.0244","0.0904","0.0127","0","0.0218","0.0012","0.5974","NULL","NULL","NULL","NULL",1
"85","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.15","0","0","0","0","0","0","0","0","0.6753","NULL","NULL","NULL","NULL",1
"86","Brillare Hairdressing Academy","Scottsdale","AZ","85251","NULL","NULL","NULL","0.7548387097","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"87","Central Arizona College","Coolidge","AZ","85128-9030","NULL","NULL","NULL","0.0749014455","0.2131","0","0.0055","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"88","Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.2435233161","0.0769","0","0","0","0","0","0","0","0.3409","NULL","NULL","NULL","NULL",1
"89","Charles of Italy Beauty College","Lake Havasu City","AZ","86403","NULL","NULL","NULL","0.6904761905","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"90","Cochise County Community College District","Douglas","AZ","85607-6190","NULL","NULL","NULL","0.0444763271","0.082","0.0011","0.049","0.0028","0.0011","0.3565","0.0023","0","NULL","NULL","NULL","NULL","NULL",2
"91","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004","NULL","NULL","NULL","0.6543624161","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"92","Empire Beauty School-Chandler","Chandler","AZ","85224","NULL","NULL","NULL","0.6543624161","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"93","Cortiva Institute-Tucson","Tucson","AZ","85710","NULL","NULL","NULL","0.7777777778","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"94","DeVry University-Arizona","Phoenix","AZ","85021-2995","0.6823","NULL","NULL","0.0948866829","0.2227","0.1223","0.1965","0","0","0","0","0","0.3395","NULL","NULL","NULL","NULL",1
"95","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210","NULL","NULL","NULL","0.5819672131","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"96","Eastern Arizona College","Thatcher","AZ","85552-0769","NULL","NULL","NULL","0.0285714286","0.0076","0","0.0183","0.0031","0.0031","0","0.0061","0","NULL","NULL","NULL","NULL","NULL",2
"97","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.8193","650","29","0.4107579462","0.0259","0.2767","0","0","0","0","0.0778","0","0.6011","NULL","NULL","NULL","NULL",1
"98","Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"99","Glendale Community College","Glendale","AZ","85302","NULL","NULL","NULL","PrivacySuppressed","0.0176","0","0.013","0.0014","0","0","0.0408","0","NULL","NULL","NULL","NULL","NULL",2
"100","Grand Canyon University","Phoenix","AZ","85017","1","NULL","NULL","0.1588525601","0","0","0","0.0165","0","0","0","0","0.2913","NULL","NULL","NULL","NULL",1
"101","Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.4339653482","0.0816","0","0.0459","0","0","0","0","0","0.5736","NULL","NULL","NULL","NULL",1
"102","International Academy of Hair Design","Tempe","AZ","85282-6730","NULL","NULL","NULL","0.6016260163","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"103","Lamson College","Tempe","AZ","85284","NULL","NULL","NULL","0.5631929047","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"104","Kaplan College-Phoenix","Phoenix","AZ","85029","NULL","NULL","NULL","0.5275862069","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"105","Maricopa Beauty College LLC","Avondale","AZ","85323","NULL","NULL","NULL","0.7534246575","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"106","GateWay Community College","Phoenix","AZ","85034","NULL","NULL","NULL","0.0492332526","0.024","0","0.0213","0","0","0","0.004","0","NULL","NULL","NULL","NULL","NULL",2
"107","Mesa Community College","Mesa","AZ","85202","NULL","NULL","NULL","0.0116182573","0.0147","0.0003","0.0194","0.0003","0","0","0.027","0","NULL","NULL","NULL","NULL","NULL",2
"108","ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.3204","NULL","NULL","0.3123644252","0.449","0","0.398","0","0","0","0","0","0.2295","NULL","NULL","NULL","NULL",1
"109","ITT Technical Institute-Tempe","Tempe","AZ","85282","0.3297","NULL","NULL","0.3123644252","0.3119","0","0.4505","0","0","0","0","0","0.2222","NULL","NULL","NULL","NULL",1
"110","Mohave Community College","Kingman","AZ","86409-1238","NULL","NULL","NULL","0.0892053973","0.0437","0","0","0.0106","0.0011","0","0.0011","0","NULL","NULL","NULL","NULL","NULL",2
"111","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027","NULL","NULL","NULL","0.7209058503","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"112","Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0.0684","0","0","0","0","0.0529","NULL","NULL","NULL","NULL",1
"113","Northern Arizona University","Flagstaff","AZ","86011-4092","0.6523","590","26","0.415991054","0.003","0.0227","0","0.0479","0.0027","0","0.0178","0.0315","0.4921","NULL","NULL","NULL","NULL",1
"114","Northland Pioneer College","Holbrook","AZ","86025-0610","NULL","NULL","NULL","PrivacySuppressed","0.0327","0","0.0612","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"115","Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.2331288344","0.0042","0","0","0.0042","0.0084","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"116","Phoenix College","Phoenix","AZ","85013","NULL","NULL","NULL","0.0165654335","0.0076","0","0.0095","0","0","0","0.0118","0","NULL","NULL","NULL","NULL","NULL",2
"117","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257","NULL","NULL","NULL","0.6730769231","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"118","University of Phoenix-Phoenix-Hohokam Campus","Phoenix","AZ","85040-1958","NULL","NULL","NULL","0.2271964424","0.0749","0","0","0","0","0","0","0","0.1797","NULL","NULL","NULL","NULL",1
"119","Pima Community College","Tucson","AZ","85709-1275","NULL","NULL","NULL","0.0756196257","0.0099","0","0.0133","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"120","Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.7118935165","0","0","0","0","0","0","0","0","0.7807","NULL","NULL","NULL","NULL",1
"121","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110","NULL","NULL","NULL","0.7118935165","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"122","Prescott College","Prescott","AZ","86301","0.9945","570","25","0.1622641509","0","0","0","0.0428","0","0","0","0","0.425","NULL","NULL","NULL","NULL",1
"123","Refrigeration School Inc","Phoenix","AZ","85034-1816","NULL","NULL","NULL","0.6560693642","0","0","0.9979","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"124","Rio Salado College","Tempe","AZ","85281","NULL","NULL","NULL","0.0455724342","0.1682","0","0","0","0","0","0.0004","0","NULL","NULL","NULL","NULL","NULL",2
"125","Roberto-Venn School of Luthiery","Phoenix","AZ","85007","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"126","Hair Academy of Safford","Safford","AZ","85546","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"127","Scottsdale Community College","Scottsdale","AZ","85256","NULL","NULL","NULL","PrivacySuppressed","0.0351","0","0.0057","0","0","0","0.017","0","NULL","NULL","NULL","NULL","NULL",2
"128","South Mountain Community College","Phoenix","AZ","85042","NULL","NULL","NULL","PrivacySuppressed","0.047","0","0","0","0","0","0.05","0","NULL","NULL","NULL","NULL","NULL",2
"129","Arizona Christian University","Phoenix","AZ","85032-7097","0.6792","510","24","0.3675213675","0","0","0","0","0","0","0","0","0.4655","NULL","NULL","NULL","NULL",1
"130","Tucson College","Tucson","AZ","85711","NULL","NULL","NULL","0.5536723164","0.0424","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"131","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323","NULL","NULL","NULL","0.6871589085","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"132","Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.219665272","0.0732","0","0","0","0","0","0","0","0.1022","NULL","NULL","NULL","NULL",1
"133","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051","NULL","NULL","NULL","0.5614035088","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"134","Yavapai College","Prescott","AZ","86301","NULL","NULL","NULL","0.1105047749","0.0473","0","0.0027","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"135","University of Arkansas at Little Rock","Little Rock","AR","72204","0.8731","NULL","25","0.2129963899","0.0228","0.013","0.0407","0.0423","0.0098","0","0.0106","0","0.2134","NULL","NULL","NULL","NULL",1
"136","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7571743929","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"137","ABC Beauty College Inc","Arkadelphia","AR","71923","NULL","NULL","NULL","0.6071428571","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"138","Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.0920502092","0","0","0","0","0","0","0","0","0.0213","NULL","NULL","NULL","NULL",1
"139","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","NULL","NULL","NULL","0.7179487179","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"140","Arkansas Beauty College","Russellville","AR","72801","NULL","NULL","NULL","0.3888888889","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"141","Lyon College","Batesville","AR","72501","0.6748","590","26","0.3461538462","0.0294","0","0","0.1961","0.0392","0","0.0392","0","0.5106","NULL","NULL","NULL","NULL",1
"142","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","NULL","NULL","NULL","0.6166666667","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"143","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","NULL","NULL","NULL","0.2745098039","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"144","University of Arkansas","Fayetteville","AR","72701","0.604","640","28","0.4072299652","0.0046","0.0891","0","0.0549","0.0104","0","0.0276","0","0.5793","NULL","NULL","NULL","NULL",1
"145","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.3017","480","17","0.2038505096","0.0213","0","0.04","0.0507","0.0053","0","0.0213","0","0.242","NULL","NULL","NULL","NULL",1
"146","Arkansas State University-Beebe","Beebe","AR","72012-1000","NULL","NULL","NULL","0.2008072654","0","0","0.073","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"147","Arkansas State University-Main Campus","Jonesboro","AR","72401","0.6755","580","25","0.2983236401","0.0149","0.037","0.0098","0.0226","0.0031","0","0.0154","0","0.3372","NULL","NULL","NULL","NULL",1
"148","Arkansas Tech University","Russellville","AR","72801-2222","0.9089","600","25","0.2959442332","0.0165","0.0432","0.0213","0.0226","0.0027","0","0.0103","0","0.3948","NULL","NULL","NULL","NULL",1
"149","University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1142857143","0","0","0.0707","0.0107","0.0032","0","0.0011","0","0.2655","NULL","NULL","NULL","NULL",1
"150","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","NULL","NULL","NULL","0.5441176471","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
