"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1609","University of Louisiana at Lafayette","Lafayette","LA","70503","0.6593","NULL","24","0.310782241","0.0105","0.0606","0.0333","0.0351","0.0035","0","0.0176","0","0.4143","40000","42400","50800","59700",1
"1610","Northshore Technical Community College","Bogalusa","LA","70427","NULL","NULL","NULL","0.081177977","0.099","0","0.0136","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47700",2
"1611","Tulane University of Louisiana","New Orleans","LA","70118-5698","0.2495","700","32","0.6552748886","0.0404","0.0232","0","0.0972","0.0075","0","0.0082","0","NULL","71100","66100","64900","99500",1
"1612","Xavier University of Louisiana","New Orleans","LA","70125-1098","0.6408","540","24","0.4197689345","0.0033","0","0","0.3455","0.0033","0","0.186","0","0.5612","58700","57000","61500","119800",1
"1613","South Central Louisiana Technical College","Morgan City","LA","70380","NULL","NULL","NULL","0.081177977","0.0042","0","0.0483","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47700",2
"1614","Kaplan University-Maine Campus","S Portland","ME","04106-2415","NULL","NULL","NULL","0.2078024066","0","0","0","0","0","0","0","0","0.1778","29000","43100","58000","66700",1
"1615","College of the Atlantic","Bar Harbor","ME","04609","0.6403","NULL","NULL","0.6144578313","0","0","0","0","0","0","0","0","0.7125","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1616","Bangor Theological Seminary","Bangor","ME","04402-0411","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1617","Bates College","Lewiston","ME","04240","0.2689","NULL","NULL","0.8282828283","0","0","0","0.1144","0.032","0","0.0572","0","0.9224","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","73700",1
"1618","Beal College","Bangor","ME","04401","NULL","NULL","NULL","0.3253968254","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36600",2
"1619","Bowdoin College","Brunswick","ME","04011","0.1611","740","34","0.8514851485","0.0113","0","0","0.2099","0.0339","0","0.0361","0","0.9182","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","78400",1
"1620","Maine College of Health Professions","Lewiston","ME","04240","0.5","500","NULL","0.7536231884","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"1621","Central Maine Community College","Auburn","ME","04210-6498","NULL","NULL","NULL","0.2020958084","0","0","0.0612","0","0","0","0","0","NULL","30800","36800","40700","49100",2
"1622","Colby College","Waterville","ME","04901-8840","0.2944","710","32","0.8789473684","0","0","0","0.1283","0.0265","0","0.0754","0","0.9119","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","72300",1
"1623","Eastern Maine Community College","Bangor","ME","04401","0.7787","NULL","NULL","0.280730897","0.0323","0","0.0896","0","0","0","0","0","NULL","31100","36700","38400","56200",2
"1624","Husson University","Bangor","ME","04401-2999","0.7513","530","24","0.3718459495","0.0278","0","0","0.0278","0","0","0.0126","0","0.3778","34700","42100","48300","56400",1
"1625","Kennebec Valley Community College","Fairfield","ME","04937-1367","NULL","NULL","NULL","0.391025641","0","0","0.0289","0","0","0","0","0.0133","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50400",2
"1626","The Landing School","Arundel","ME","04046","0.8333","NULL","NULL","PrivacySuppressed","0","0.3231","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"1627","University of Maine at Augusta","Augusta","ME","04330-9410","NULL","NULL","NULL","0.1808261886","0.0488","0","0","0.0202","0","0","0","0.0488","0.1694","25600","32500","36300","47000",1
"1628","University of Maine at Farmington","Farmington","ME","04938-9978","0.8171","NULL","NULL","0.4633273703","0.0161","0","0","0.0134","0.0107","0","0.0054","0","0.5939","31400","33400","37300","43200",1
"1629","University of Maine at Fort Kent","Fort Kent","ME","04743-1292","0.867","NULL","NULL","0.3114754098","0.0462","0","0","0.0359","0","0","0","0","0.4031","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","57700",1
"1630","University of Maine at Machias","Machias","ME","04654-1397","0.7852","510","22","0.1806451613","0","0","0","0.1829","0","0","0","0","0.3774","27600","28400","31200","41300",1
"1631","University of Maine","Orono","ME","04469","0.778","600","NULL","0.4774859287","0.0038","0.1109","0.0544","0.0582","0.0077","0","0.0137","0","0.6042","40300","42100","47400","62500",1
"1632","Maine Maritime Academy","Castine","ME","04420-0001","0.6412","570","24","0.5102040816","0","0.4046","0.0462","0.1098","0","0","0","0","0.7143","70700","79400","88300","138700",1
"1633","University of Maine at Presque Isle","Presque Isle","ME","04769-2888","NULL","NULL","NULL","0.2470588235","0","0","0","0.0164","0.0082","0","0","0","0.2969","27600","29500","33900","47000",1
"1634","University of New England","Biddeford","ME","04005-9599","0.8162","590","26","0.6132511556","0","0","0","0.195","0.0063","0","0.0021","0","0.5842","46700","47200","52100","63000",1
"1635","Northern Maine Community College","Presque Isle","ME","04769-2016","0.5955","NULL","NULL","0.4215686275","0","0","0.0118","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51400",2
"1636","Empire Beauty School-Maine","Portland","ME","04101","NULL","NULL","NULL","0.5503355705","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33400",3
"1637","Maine College of Art","Portland","ME","04101-3494","0.9474","NULL","NULL","0.4455445545","0","0","0","0","0","0","0","0","0.418","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37600",1
"1638","Saint Joseph's College of Maine","Standish","ME","04084-5236","0.8812","530","25","0.5348837209","0","0","0","0.0596","0","0","0","0","0.5455","46900","37700","44300","64600",1
"1639","Spa Tech Institute-Westbrook","Westbrook","ME","04092","NULL","NULL","NULL","0.7429378531","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44600",3
"1640","Southern Maine Community College","South Portland","ME","04106-1698","NULL","NULL","NULL","0.2365428355","0","0","0.093","0.0157","0","0","0","0","NULL","34300","38900","44600","52500",2
"1641","University of Southern Maine","Portland","ME","04103","0.7828","550","23","0.3671232877","0.003","0.0091","0.0288","0.0281","0.0083","0","0.0197","0","0.3282","39500","39100","42200","60800",1
"1642","Thomas College","Waterville","ME","04901-5097","0.9252","470","NULL","0.4285714286","0.0305","0","0","0","0","0","0","0","0.45","37700","39700","40300","52500",1
"1643","Unity College","Unity","ME","04988","0.6147","NULL","NULL","0.4871794872","0","0","0","0.2478","0","0","0","0","0.4733","38000","38700","34800","47700",1
"1644","Washington County Community College","Calais","ME","04619","NULL","NULL","NULL","0.2784090909","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47600",2
"1645","Aaron's Academy of Beauty","Waldorf","MD","20602","NULL","NULL","NULL","0.5128205128","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1646","Aesthetics Institute of Cosmetology","Gaithersburg","MD","20877","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1647","Allegany College of Maryland","Cumberland","MD","21502-2596","NULL","NULL","NULL","0.2995495495","0.0024","0","0.0965","0","0","0","0","0","NULL","31600","35600","36800","52500",2
"1648","Anne Arundel Community College","Arnold","MD","21012-1895","NULL","NULL","NULL","0.1679265659","0.0277","0.0197","0.0597","0","0.0042","0","0","0","NULL","37900","45500","50200","63700",2
"1649","Brightwood College-Towson","Towson","MD","21286-2201","NULL","NULL","NULL","0.6620498615","0.1676","0","0","0","0","0","0","0","NULL","37500","46100","53300","44500",2
"1650","Award Beauty School","Hagerstown","MD","21740-5610","NULL","NULL","NULL","0.3025830258","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33000",3
"1651","Baltimore Studio of Hair Design","Baltimore","MD","21201-3444","NULL","NULL","NULL","0.4020618557","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33400",3
"1652","Baltimore City Community College","Baltimore","MD","21215-7893","NULL","NULL","NULL","0.0448377581","0.0338","0.0132","0.0132","0","0","0","0","0.0338","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48500",2
"1653","University of Baltimore","Baltimore","MD","21201-5720","0.3235","510","NULL","0.4930232558","0.0285","0","0","0","0","0","0","0","NULL","59200","65400","62100","87700",1
"1654","Bowie State University","Bowie","MD","20715-9465","0.4997","480","19","0.103101425","0.0366","0","0","0.0571","0.0117","0","0","0","0.4063","48500","54000","50200","66400",1
"1655","Capitol Technology University","Laurel","MD","20708","0.561","610","30","0.3661971831","0.102","0.4898","0.3061","0","0","0","0","0","0.3692","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","94000",1
"1656","Cecil College","North East","MD","21901-1999","NULL","NULL","NULL","0.1225961538","0.0194","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","59000",2
"1657","College of Southern Maryland","La Plata","MD","20646-0910","NULL","NULL","NULL","0.1310629515","0.0559","0.0134","0.0175","0","0","0","0","0","NULL","34900","48800","46900","61500",2
"1658","Chesapeake College","Wye Mills","MD","21679-0008","NULL","NULL","NULL","0.1473988439","0.041","0","0.0171","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51200",2
"1659","Washington Adventist University","Takoma Park","MD","20912","NULL","NULL","NULL","0.1532846715","0.0295","0","0","0.0127","0","0","0.0042","0","0.2849","44800","56400","55500","76200",1
"1660","Coppin State University","Baltimore","MD","21216-3698","0.5352","460","NULL","0.1823266219","0.0237","0","0","0.0237","0.0132","0","0","0.0053","0.1467","37000","41800","42800","61100",1
"1661","Delmarva Beauty Academy","Salisbury","MD","21804-6952","1","NULL","NULL","0.7843137255","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1662","North American Trade Schools","Baltimore","MD","21244","NULL","NULL","NULL","0.6810810811","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","60900",3
"1663","Frederick Community College","Frederick","MD","21702-2964","NULL","NULL","NULL","0.184501845","0.0033","0","0.0087","0","0","0","0","0","NULL","35300","39800","40100","61800",2
"1664","Frostburg State University","Frostburg","MD","21532-1099","0.5524","540","21","0.483378257","0.039","0.0067","0","0.0334","0.0056","0","0.0178","0","0.4547","40500","46800","48500","55700",1
"1665","Garrett College","McHenry","MD","21541","NULL","NULL","NULL","0.1526717557","0","0","0.0095","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48400",2
"1666","Goucher College","Baltimore","MD","21204-2794","0.7279","620","26","0.618556701","0.0091","0","0","0.0755","0.0091","0","0.0332","0","0.7","45000","53300","48400","53500",1
"1667","Kaplan University-Hagerstown Campus","Hagerstown","MD","21742","NULL","NULL","NULL","0.2078024066","0.1323","0","0","0","0","0","0","0","0.4982","29000","43100","58000","66700",1
"1668","Hagerstown Community College","Hagerstown","MD","21742-6514","NULL","NULL","NULL","0.2702349869","0.0128","0.0047","0.014","0","0","0","0","0.007","NULL","30100","39000","41000","57700",2
"1669","Harford Community College","Bel Air","MD","21015-1698","NULL","NULL","NULL","0.1412872841","0.0204","0.0156","0.0311","0","0","0","0","0.0036","NULL","34100","37900","46800","54400",2
"1670","Hood College","Frederick","MD","21701","0.7922","600","25","0.6555269923","0.0539","0","0","0.0868","0.0359","0","0.018","0","0.6822","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","56700",1
"1671","Howard Community College","Columbia","MD","21044-3197","NULL","NULL","NULL","0.1405750799","0.0223","0.0074","0.0382","0","0","0","0","0","NULL","39100","44400","46500","64000",2
"1672","The Colorlab Academy of Hair","Bel Air","MD","21014-3639","NULL","NULL","NULL","0.6","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1673","Johns Hopkins University","Baltimore","MD","21218-2688","0.194","770","35","0.8519437552","0.0194","0.1755","0","0.1103","0.0226","0","0.0265","0","0.9112","96100","75400","82400","108900",1
"1674","L'Academie de Cuisine","Gaithersburg","MD","20877-1414","0.7778","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"1675","Lincoln College of Technology-Columbia","Columbia","MD","21046","NULL","NULL","NULL","0.5736111111","0","0","0.7493","0","0","0","0","0","NULL","35300","41200","41800","63000",2
"1676","Loyola University Maryland","Baltimore","MD","21210-2699","0.6341","650","28","0.8070175439","0.0068","0.0193","0","0.0523","0.008","0","0.0102","0","0.8263","77600","70100","72100","74000",1
"1677","Maryland Beauty Academy","Reisterstown","MD","21136-2331","NULL","NULL","NULL","0.3928571429","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1678","University of Maryland-University College","Adelphi","MD","20783-8010","NULL","NULL","NULL","0.084742268","0.1962","0","0","0.0022","0","0","0","0","0.1204","49400","56800","71300","88200",1
"1679","University of Maryland  Baltimore","Baltimore","MD","21201-1627","NULL","NULL","NULL","0.9111111111","0","0","0","0","0","0","0","0","NULL","108500","83800","88500","141700",1
"1680","University of Maryland-Baltimore County","Baltimore","MD","21250","0.6081","670","NULL","0.4437535331","0.1665","0.0671","0","0.1297","0.0249","0","0.0154","0","0.5736","54600","58000","59400","72000",1
"1681","University of Maryland-College Park","College Park","MD","20742","0.448","710","NULL","0.6668210234","0.0278","0.0958","0","0.086","0.0126","0","0.0186","0","0.8182","65600","67200","66500","78800",1
"1682","Maryland Institute College of Art","Baltimore","MD","21217-4134","0.5496","620","NULL","0.7077747989","0","0","0","0","0","0","0","0","0.7114","38000","33500","36600","49200",1
"1683","University of Maryland Eastern Shore","Princess Anne","MD","21853-1299","0.4999","480","18","0.3056640625","0.0138","0.0099","0.0435","0.085","0.0079","0","0.0059","0","0.3123","38100","41800","42200","52600",1
"1684","Fortis Institute-Towson","Towson","MD","21204-9840","0.9661","NULL","NULL","0.6307969383","0","0","0","0","0","0","0","0","NULL","25900","32600","32900","42900",3
"1685","Montgomery Beauty School","Silver Spring","MD","20901","NULL","NULL","NULL","0.3835616438","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38700",3
"1686","Montgomery College","Rockville","MD","20850","NULL","NULL","NULL","0.149668456","0.0379","0.0225","0.0274","0","0","0","0","0.009","NULL","43200","45700","48200","62900",2
"1687","Morgan State University","Baltimore","MD","21251-0001","0.495","490","18","0.1317330211","0.016","0.1107","0","0.0652","0.0062","0","0.0098","0","0.2814","40400","42300","45500","53500",1
"1688","Mount St Mary's University","Emmitsburg","MD","21727-7799","0.656","580","23","0.5872235872","0.0165","0","0","0.0577","0.022","0","0.0165","0","0.7597","49500","58700","56600","68500",1
"1689","Ner Israel Rabbinical College","Baltimore","MD","21208","0.8667","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.5263","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1690","Hair Academy Inc-New Carrollton","New Carrollton","MD","20784","NULL","NULL","NULL","0.3621794872","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41300",3
"1691","Notre Dame of Maryland University","Baltimore","MD","21210-2476","0.5547","560","NULL","0.5583333333","0.0032","0","0","0.0385","0.0064","0","0.0096","0","0.483","42900","50400","54900","82900",1
"1692","Prince George's Community College","Largo","MD","20774-2199","NULL","NULL","NULL","0.0120945574","0.0291","0.0068","0.0223","0","0","0","0","0","NULL","40700","47900","47600","64000",2
"1693","Brightwood College-Baltimore","Baltimore","MD","21227-1063","NULL","NULL","NULL","0.555774926","0.1076","0","0","0","0","0","0","0","NULL","33300","44500","51500","45300",2
"1694","Robert Paul Academy of Cosmetology Arts & Sciences","Timonium","MD","21093","NULL","NULL","NULL","0.5581395349","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1695","Maryland Beauty Academy of Essex","Baltimore","MD","21224","NULL","NULL","NULL","0.3333333333","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1696","St Mary's Seminary & University","Baltimore","MD","21210-1994","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"1697","Salisbury University","Salisbury","MD","21801-6862","0.5276","620","26","0.5861627162","0.031","0","0","0.065","0.0158","0","0.0088","0","0.6681","45700","46900","52000","63200",1
"1698","St Mary's College of Maryland","St. Mary's City","MD","20686-3001","0.6531","650","29","0.6884272997","0.0171","0","0","0.1122","0.0512","0","0.0268","0","0.7889","PrivacySuppressed","46700","56900","60600",1
"1699","Sojourner-Douglass College","Baltimore","MD","21205-1898","NULL","NULL","NULL","0.2377717391","0","0","0","0","0","0","0","0","0.2683","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","54300",1
"1700","St John's College","Annapolis","MD","21401","0.7806","680","27","0.6194690265","0","0","0","0","0","0","0","0","0.6913","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51300",1
"1701","Brightwood College-Beltsville","Beltsville","MD","20705","NULL","NULL","NULL","0.7116104869","0.2948","0","0","0","0","0","0","0","NULL","38200","46500","48000","58000",2
"1702","Towson University","Towson","MD","21252-0001","0.5422","590","25","0.5882174309","0.0327","0","0","0.0461","0.0119","0","0.0182","0","0.6366","50400","53100","53700","65700",1
"1703","Maryland University of Integrative Health","Laurel","MD","20723","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1704","International Beauty School","Cumberland","MD","21502","NULL","NULL","NULL","0.6226415094","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"1705","Stevenson University","Stevenson","MD","21153-0641","0.5815","550","23","0.5388888889","0.0859","0","0","0.0416","0.0014","0","0.0249","0","0.6164","46500","54100","56800","70000",1
"1706","Washington Bible College-Capital Bible Seminary","Lanham","MD","20706-3599","0.9714","NULL","NULL","0.1724137931","0","0","0","0","0","0","0","0","0.3333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1707","Washington College","Chestertown","MD","21620-1438","0.5657","610","NULL","0.5708333333","0.0039","0","0","0.0898","0.0156","0","0.0078","0","0.7507","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","57400",1
"1708","Washington Theological Union","Washington","DC","20012","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1709","McDaniel College","Westminster","MD","21157","0.7531","610","NULL","0.6063829787","0.0052","0","0","0.0725","0.0078","0","0.0207","0","0.736","38500","49900","52500","60700",1
"1710","Wor-Wic Community College","Salisbury","MD","21804-7131","NULL","NULL","NULL","0.0892857143","0.0279","0","0.0299","0","0","0","0","0","NULL","28600","35600","PrivacySuppressed","51300",2
"1711","New England College of Business and Finance","Boston","MA","02110","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"1712","American International College","Springfield","MA","01109","0.7036","520","20","0.5195729537","0","0","0","0.0162","0.0054","0","0.0027","0","0.3628","41800","45400","53800","70400",1
"1713","Amherst College","Amherst","MA","01002-5000","0.1332","770","34","0.8687782805","0.0207","0","0","0.089","0.0145","0","0.06","0","0.9628","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","98200",1
"1714","Andover Newton Theological School","Newton Centre","MA","02459-2243","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"1715","Anna Maria College","Paxton","MA","01612-1198","0.5992","510","NULL","0.3611111111","0","0","0","0","0","0","0","0","0.4872","41200","39900","49200","59500",1
"1716","Assabet Valley Regional Technical School","Marlborough","MA","01752","0.8125","NULL","NULL","0.3870967742","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1717","Assumption College","Worcester","MA","01609-1296","0.7511","NULL","NULL","0.2007104796","0.0096","0","0","0.0478","0.0268","0","0.0134","0","0.6743","53400","53700","56800","63900",1
"1718","Babson College","Wellesley","MA","02457-0310","0.3383","740","NULL","0.8107142857","0","0","0","0","0","0","0","0","0.9041","PrivacySuppressed","105500","109600","110500",1
"1719","Bancroft School of Massage Therapy","Worcester","MA","01604","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1720","Boston Baptist College","Boston","MA","02136-4030","0.5294","540","25","PrivacySuppressed","0","0","0","0","0","0","0","0","0.7879","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"1721","Bay Path University","Longmeadow","MA","01106","0.5796","520","23","0.4808080808","0","0","0","0.0513","0","0","0","0","0.6529","38900","45900","47100","60400",1
"1722","Bay State College","Boston","MA","02116","0.7597","NULL","NULL","0.0636604775","0","0","0","0","0","0","0","0","0.2242","30800","36200","31700","48800",1
"1723","Bay State School of Technology","Canton","MA","02021-2358","NULL","NULL","NULL","0.6918238994","0","0","0.8613","0","0","0","0","0","NULL","36200","43000","PrivacySuppressed","66100",3
"1724","Becker College","Worcester","MA","01609-2165","0.7243","540","21","0.1556886228","0","0","0","0","0","0","0","0","0.2886","37100","40700","41400","72200",1
"1725","Bentley University","Waltham","MA","02452-4705","0.4335","650","NULL","0.7804532578","0.031","0","0","0","0.015","0","0","0","0.8771","73900","77600","87000","86000",1
"1726","Berklee College of Music","Boston","MA","02215","0.2801","NULL","NULL","0.3411042945","0","0","0","0","0","0","0","0","0.5207","37300","35700","38600","47900",1
"1727","Berkshire Community College","Pittsfield","MA","01201-5786","NULL","NULL","NULL","0.2253829322","0.0147","0.0206","0.0794","0","0","0","0","0","NULL","27600","37900","38600","51900",2
"1728","Empire Beauty School-Boston","Boston","MA","02111","NULL","NULL","NULL","0.5784883721","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41800",3
"1729","Boston Architectural College","Boston","MA","02115-2703","NULL","NULL","NULL","0.0550458716","0","0","0","0","0","0","0","0","0.0909","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","59300",1
"1730","Boston Graduate School of Psychoanalysis Inc","Brookline","MA","02446","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1731","Boston College","Chestnut Hill","MA","02467","0.2798","730","33","0.9051948052","0.0146","0","0","0.0751","0.0171","0","0.0163","0","0.9153","80500","82300","85400","102900",1
"1732","The Boston Conservatory","Boston","MA","02215","NULL","NULL","NULL","0.5905511811","0","0","0","0","0","0","0","0","0.5448","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","53300",1
"1733","Boston University","Boston","MA","02215","0.5797","700","30","0.7152034261","0.0103","0.0662","0","0.0635","0.0129","0","0.0115","0","0.8475","73700","66700","69100","80400",1
"1734","Brandeis University","Waltham","MA","02454-9110","0.3999","740","32","0.8818565401","0.0206","0","0","0.148","0.0116","0","0.0193","0","0.9118","59700","70600","71600","72400",1
"1735","Bridgewater State University","Bridgewater","MA","02325","0.6958","558","NULL","0.4968614196","0.0113","0","0","0.0238","0.019","0","0.0149","0","0.5167","40600","43500","44100","56100",1
"1736","Bristol Community College","Fall River","MA","02720-7395","NULL","NULL","NULL","0.2282157676","0.0353","0.0126","0.0303","0.0017","0","0","0","0","NULL","29900","33100","38500","53000",2
"1737","Signature Healthcare Brockton Hospital School of Nursing","Brockton","MA","02302-1905","0.2222","540","NULL","0.3693693694","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","76500",2
"1738","Bunker Hill Community College","Boston","MA","02129-2925","NULL","NULL","NULL","0.1101558302","0.0648","0.0076","0","0.0324","0.001","0","0.0029","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","59000",2
"1739","Cambridge College","Cambridge","MA","02138","NULL","NULL","NULL","0.410022779","0","0","0","0","0","0","0","0","0.0769","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55900",1
"1740","Cape Cod Community College","West Barnstable","MA","02668-1599","NULL","NULL","NULL","0.193498452","0.0337","0","0.039","0","0","0","0","0","NULL","30700","34500","40000","53500",2
"1741","Catherine Hinds Institute of Esthetics","Woburn","MA","01801-6819","NULL","NULL","NULL","0.8620689655","0","0","0","0","0","0","0","0","NULL","24100","36800","PrivacySuppressed","54500",3
"1742","Laboure College","Milton","MA","02186","0.5217","NULL","NULL","0.1557788945","0","0","0","0","0","0","0","0","1","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","79700",1
"1743","Clark University","Worcester","MA","01610-1477","0.6792","NULL","NULL","0.7494145199","0.0095","0","0","0.0781","0.0152","0","0.021","0","0.7953","46500","46100","50300","59000",1
"1744","Conway School of Landscape Design","Conway","MA","01341-0179","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"1745","Curry College","Milton","MA","02186-2395","0.7182","510","NULL","0.492","0.0184","0","0","0.01","0","0","0","0","0.4775","44800","48000","50900","69600",1
"1746","Lincoln Technical Institute-Somerville","Somerville","MA","02145","NULL","NULL","NULL","0.6432212029","0.1247","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45300",3
"1747","Dean College","Franklin","MA","02038-1941","0.7006","480","20","0.3615384615","0","0","0","0","0","0","0","0","0.4595","34900","37800","36500","47000",1
"1748","Diman Regional Technical Institute","Fall River","MA","02723","0.1272","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"1749","National Aviation Academy of New England","Bedford","MA","01730","NULL","NULL","NULL","0.6132075472","0","0","0","0","0","0","0","0","NULL","45300","52900","54600","81600",2
"1750","Eastern Nazarene College","Quincy","MA","02170-2999","0.6269","560","27","0.329588015","0","0.0046","0","0.0278","0.0139","0","0.0139","0","0.5103","39700","48100","51000","62900",1
"1751","Emerson College","Boston","MA","02116-4624","0.4843","640","27","0.8228346457","0","0","0","0","0","0","0","0","0.8126","49900","45400","52500","59700",1
"1752","Emmanuel College","Boston","MA","02115","0.5572","580","NULL","0.5252173913","0","0","0","0.0647","0.0125","0","0.0209","0","0.6301","42600","44500","50200","63300",1
