"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"786","Gulf Coast State College","Panama City","FL","32401","NULL","NULL","NULL","0.2295774648","0.0066","0","0.0147","0","0","0","0","0","0.3797","28800","32800","40300","NULL",1,"0.1318944844","0.3455882353","0.7790262172","0.5759493671","0.7137681159","0.7304964539","0.5767012687","0.725","9596","0.2227822581","0.2514619883","0.2209302326"
"787","Key College","Dania Beach","FL","33004-3046","NULL","NULL","NULL","PrivacySuppressed","0","0","0.25","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22550","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"788","Hillsborough Community College","Tampa","FL","33606-3584","NULL","NULL","NULL","0.0866102539","0.013","0","0.0249","0","0","0","0","0","NULL","33100","39200","42700","NULL",2,"0.0696564885","0.1800281294","0.7142857143","0.543124692","0.6343449297","0.6717724289","0.5057403591","0.6438995914","9857","0.0724104075","0.1211916046","0.1008403361"
"789","Hobe Sound Bible College","Hobe Sound","FL","33455-1065","NULL","NULL","NULL","0.3658536585","0","0","0","0","0","0","0","0","0.4286","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6232","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"790","Hollywood Institute of Beauty Careers","Hollywood","FL","33023","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.6","0.5555555556","0.7291666667","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"791","Cortiva Institute-Florida","Pinellas Park","FL","33781","NULL","NULL","NULL","0.7630057803","0","0","0","0","0","0","0","0","NULL","26700","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.7608695652","0.6230769231","0.7727272727","0.8448979592","0.785046729","0.8956521739","NULL","0.7474747475","PrivacySuppressed","PrivacySuppressed"
"792","Indian River State College","Fort Pierce","FL","34981-5596","NULL","NULL","NULL","0.0385271054","0.0104","0","0.0361","0","0","0","0","0","0.4133","29000","34300","37700","NULL",1,"PrivacySuppressed","PrivacySuppressed","0.6923076923","0.5037664783","0.6451612903","0.7283950617","0.5423353625","0.7533980583","6792","0.0304968028","0.0528511822","0.0718232044"
"793","Sanford-Brown College-Tampa","Tampa","FL","33307","NULL","NULL","NULL","0.3252513306","0","0","0","0","0","0","0","0","0.3177","28000","32400","35000","NULL",1,"0.4145673604","0.4313253012","0.5419715885","0.3500108767","0.5471781305","0.5395131711","0.3750679717","0.5531135531","30009","0.279077019","0.3655660377","0.4882154882"
"794","International Academy","South Daytona","FL","32119","NULL","NULL","NULL","0.5354330709","0","0","0","0","0","0","0","0","NULL","20800","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.4454976303","0.3226837061","0.5918367347","0.5597826087","PrivacySuppressed","PrivacySuppressed","NULL","0.5","PrivacySuppressed","PrivacySuppressed"
"795","AI Miami International University of Art and Design","Miami","FL","33132-1418","0.7654","NULL","NULL","0.307735426","0.0728","0","0","0","0","0","0","0","0.4367","31500","34500","37000","NULL",1,"0.4305912596","0.3575129534","0.6151035323","0.4330518697","0.5520094563","0.6641294006","0.5480807281","0.672","29746","0.2751004016","0.3253275109","0.3818181818"
"796","ITT Technical Institute-Tampa","Tampa","FL","33634-7350","0.6519","NULL","NULL","0.3187633262","0.299","0","0.2926","0","0","0","0","0","0.3222","38200","46300","47200","NULL",1,"0.3352601156","0.3183254344","0.557122708","0.3441082503","0.5384294069","0.566698772","0.4505614087","0.5649236193","27344","0.2656358181","0.4077952298","0.4688715953"
"797","Jacksonville University","Jacksonville","FL","32211-3394","0.4549","560","NULL","0.3732517483","0.0128","0.0047","0","0.0327","0.0047","0","0.0105","0","0.4077","46300","52900","57600","NULL",1,"0.4042553191","0.3941908714","0.8609022556","0.6868556701","0.8221258134","0.8450920245","0.7136842105","0.830802603","40662","0.3643617021","0.3494623656","0.404040404"
"798","Jones College-Jacksonville","Jacksonville","FL","32211","NULL","NULL","NULL","0.1827956989","0.1017","0","0","0","0","0","0","0","0.375","28800","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.3179487179","0.3142857143","0.5269461078","0.4395348837","0.44","0.5193370166","0.3677758319","0.4782608696","15771","0.1666666667","PrivacySuppressed","PrivacySuppressed"
"799","Keiser University-Ft Lauderdale","Fort Lauderdale","FL","33309","0.9579","NULL","NULL","0.4145263409","0.0491","0.0009","0.0011","0.0193","0","0","0","0","0.5526","29200","37900","44100","NULL",1,"0.4482229048","0.5021224985","0.587494665","0.440196681","0.6072085325","0.554465004","0.4588428975","0.5874921036","26843","0.3718424963","0.4671499773","0.5602564103"
"800","Heritage Institute-Ft Myers","Fort Myers","FL","33912","NULL","NULL","NULL","0.6750998668","0","0","0","0","0","0","0","0","NULL","21100","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.6378600823","0.6428571429","0.380952381","0.3007915567","0.4874371859","0.5496828753","0.5105519481","0.5811965812","NULL","0.6498194946","0.7651006711","0.6875"
"801","La Belle Beauty School","Hialeah","FL","33012","NULL","NULL","NULL","0.675","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.84765625","PrivacySuppressed","PrivacySuppressed","0.9337748344","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"802","Florida Gateway College","Lake City","FL","32025-2007","NULL","NULL","NULL","0.0595567867","0.0077","0","0.0219","0","0","0","0","0","0.4298","28000","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.5519713262","0.68","PrivacySuppressed","0.6050228311","0.775862069","10091","0.0476190476","PrivacySuppressed","PrivacySuppressed"
"803","Lake Technical College","Eustis","FL","32726","NULL","NULL","NULL","0.0928571429","0","0","0.0045","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"804","Lake-Sumter State College","Leesburg","FL","34788-8751","NULL","NULL","NULL","0.1966292135","0.0103","0","0.0167","0","0","0","0","0","0.3456","27900","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.0997624703","0.4057971014","0.7820512821","0.5416666667","0.7102803738","0.8396226415","0.6896551724","0.8","8914","0.1736526946","0.2427745665","0.2894736842"
"805","Fort Myers Technical College","Fort Myers","FL","33916-2204","NULL","NULL","NULL","0.0558375635","0","0","0.0092","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"806","Lively Technical Center","Tallahassee","FL","32304-2895","NULL","NULL","NULL","PrivacySuppressed","0.0368","0","0.0343","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"807","Lindsey Hopkins Technical College","Miami","FL","33127","NULL","NULL","NULL","0.1228070175","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"808","Loraines Academy & Spa","Saint Petersburg","FL","33710","NULL","NULL","NULL","0.4375","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.4653465347","PrivacySuppressed","PrivacySuppressed","0.5384615385","PrivacySuppressed","PrivacySuppressed","NULL","0.4035087719","PrivacySuppressed","PrivacySuppressed"
"809","Luther Rice University & Seminary","Lithonia","GA","30038-9869","NULL","NULL","NULL","0.3369565217","0","0","0","0","0","0","0","0","0.25","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.4181818182","0.4375","PrivacySuppressed","0.6268656716","0.5348837209","PrivacySuppressed","0.6860465116","0.6388888889","20225","0.2549019608","PrivacySuppressed","PrivacySuppressed"
"810","State College of Florida-Manatee-Sarasota","Bradenton","FL","34207","NULL","NULL","NULL","0.1736950752","0.0115","0","0.0022","0","0","0","0","0","0.3183","30400","36500","42400","NULL",1,"0.1029040404","0.2093663912","0.6890756303","0.418241966","0.6323943662","0.6885964912","0.4508279824","0.6750902527","15538","0.148243359","0.2314250914","0.2245762712"
"811","Manatee Technical College","Bradenton","FL","34203","NULL","NULL","NULL","0.100591716","0.0345","0","0.0073","0","0","0","0","0","NULL","26300","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"812","Manhattan Hairstyling Academy","Tampa","FL","33611","NULL","NULL","NULL","0.4943457189","0","0","0","0","0","0","0","0","NULL","19800","PrivacySuppressed","PrivacySuppressed","NULL",3,"0.3419483101","0.6101694915","0.4094650206","0.259009009","0.393442623","0.4318181818","0.3213149523","0.5287356322","NULL","0.4543650794","PrivacySuppressed","PrivacySuppressed"
"813","Traviss Career Center","Lakeland","FL","33803","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0028","0","0","0","0","0","NULL","30100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","11538","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"814","Trinity International University-Florida","Davie","FL","33324","NULL","NULL","NULL","0.1164556962","0","0","0","0","0","0","0","0","NULL","40700","47200","43800","NULL",1,"0.25","0.4789915966","PrivacySuppressed","0.7741935484","0.8369905956","PrivacySuppressed","0.6859688196","0.8178571429","12750","0.1028571429","0.0909090909","0.1717171717"
"815","Miami Lakes Educational Center and Technical College","Miami Lakes","FL","33014","NULL","NULL","NULL","0.1090225564","0","0","0.0303","0","0","0","0","0","NULL","34100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"816","Miami Dade College","Miami","FL","33132-2204","NULL","NULL","NULL","0.2567890812","0.0047","0","0.0144","0","0","0","0","0.0007","0.3066","32900","37900","46700","NULL",1,"0.1136910268","0.390593047","0.7144067797","0.5898328691","0.6773296245","0.7511450382","0.6653213288","0.7649350649","19478","0.237809717","0.3222604047","0.4291338583"
"817","University of Miami","Coral Gables","FL","33146","0.397","720","32","0.7196782178","0.0082","0.0716","0","0.142","0.007","0","0.0173","0","0.8055","74000","62900","61100","NULL",1,"0.7002724796","0.7943925234","0.9253561254","0.8354898336","0.9313658202","0.9331884845","0.8624100719","0.9351724138","55326","0.6992337165","0.7225950783","0.7341576507"
"818","Orange Technical College-Mid Florida Campus","Orlando","FL","32809","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0019","0","0","0","0","0","NULL","27700","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"819","Beauty Schools of America-Miami","Miami","FL","33144-4700","NULL","NULL","NULL","0.5368956743","0","0","0","0","0","0","0","0","NULL","17400","PrivacySuppressed","PrivacySuppressed","NULL",3,"0.5873786408","0.6136363636","0.4561551433","0.3303985171","0.4193548387","0.4564643799","0.382796924","0.5287356322","NULL","0.5294117647","PrivacySuppressed","PrivacySuppressed"
"820","Remington College-Tampa Campus","Tampa","FL","33619","0.6606","NULL","NULL","0.5558794947","0.1","0","0","0","0","0","0","0","0.6","25900","34400","36000","NULL",1,"0.5075528701","0.6593406593","0.4428152493","0.3653295129","0.4916666667","0.6890951276","0.6157601116","0.7315436242","27281","0.5328467153","PrivacySuppressed","PrivacySuppressed"
"821","Everest Institute-North Miami","Miami","FL","33169-4538","NULL","NULL","NULL","0.5380434783","0","0","0.0921","0","0","0","0","0","NULL","25800","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.5266927083","0.6453900709","0.2406442444","0.1966376464","0.2867924528","0.4128336173","0.3680378595","0.5","24834","0.5197183099","PrivacySuppressed","PrivacySuppressed"
"822","Everest Institute-Hialeah","Hialeah","FL","33012","NULL","NULL","NULL","0.5380434783","0","0","0","0","0","0","0","0","NULL","25800","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.5266927083","0.6453900709","0.2406442444","0.1966376464","0.2867924528","0.4128336173","0.3680378595","0.5","24595","0.5197183099","PrivacySuppressed","PrivacySuppressed"
"823","Academy of Palm Beach","Lake Worth","FL","33463-2113","NULL","NULL","NULL","0.7047619048","0","0","0","0","0","0","0","0","NULL","19500","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.5535714286","PrivacySuppressed","PrivacySuppressed","0.6388888889","PrivacySuppressed","PrivacySuppressed","NULL","0.7045454545","PrivacySuppressed","PrivacySuppressed"
"824","Lincoln College of Technology-West Palm Beach","West Palm Beach","FL","33407","NULL","NULL","NULL","0.4503311258","0.0234","0","0.0108","0","0","0","0","0","0.5871","29100","36000","38100","NULL",1,"0.5176252319","0.612745098","0.4936305732","0.3187645688","0.5675146771","0.4341720304","0.3162762022","0.6253229974","30401","0.4302620456","0.4878706199","0.5420560748"
"825","Fortis College-Tampa","Tampa","FL","33619","NULL","NULL","NULL","0.6268656716","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","0.4342105263","0.3350515464","0.4615384615","0.6229508197","0.581769437","0.6883116883","30524","0.5671641791","PrivacySuppressed","PrivacySuppressed"
"826","Paul Mitchell the School-Jacksonville","Jacksonville","FL","32246","NULL","NULL","NULL","0.7298578199","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.7984496124","PrivacySuppressed","PrivacySuppressed","0.8288590604","0.7385159011","0.8993710692","NULL","0.7339449541","0.6730769231","0.78"
"827","North Florida Community College","Madison","FL","32340","NULL","NULL","NULL","0.035483871","0","0","0.0224","0","0","0","0","0","NULL","24200","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","9342","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"828","University of North Florida","Jacksonville","FL","32224-7699","0.5201","620","26","0.4681677019","0.0163","0.0372","0.0206","0.0266","0.0063","0","0.0063","0","0.48","44800","47400","45800","NULL",1,"0.5179310345","0.5798479087","0.8734177215","0.7718930257","0.8546910755","0.8939264328","0.819792567","0.8866937827","17263","0.4579945799","0.4758883249","0.4757709251"
"829","Northwood University-Florida","West Palm Beach","FL","33409-2911","0.5398","550","23","0.4363081617","0.0047","0","0","0","0","0","0","0","0.4094","39300","49300","53800","NULL",1,"0.4021024967","0.4595015576","0.8560794045","0.700075358","0.8333333333","0.8492333901","0.7506281407","0.8638334779","31654","0.3967280164","0.4375","0.4888268156"
"830","Nova Southeastern University","Fort Lauderdale","FL","33314-7796","0.5553","590","26","0.4331178518","0.0105","0","0","0.1591","0","0","0","0","0.4168","53500","55200","58600","NULL",1,"0.3972332016","0.6103448276","0.7924743444","0.6434108527","0.7252747253","0.7803571429","0.6199709161","0.7454545455","37795","0.4351851852","0.4169741697","0.4498714653"
"831","Northwest Florida State College","Niceville","FL","32578-1295","NULL","NULL","NULL","0.2797927461","0.0137","0","0.0176","0","0","0","0","0","0.4369","30800","35600","37500","NULL",1,"0.1382352941","0.46","0.8138297872","0.659025788","0.7037037037","0.7792792793","0.5819327731","0.7769516729","13935","0.2570694087","0.3279220779","0.3194444444"
"832","Orange Park International School of Beauty","Orange Park","FL","32073","NULL","NULL","NULL","0.4418604651","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"833","Everest University-North Orlando","Orlando","FL","32810","NULL","NULL","NULL","0.2679820879","0.014","0","0","0","0","0","0","0","0.3247","23700","31700","35400","NULL",1,"0.2205882353","0.3058637084","0.2980036298","0.1845750262","0.3173076923","0.3739663093","0.2552303154","0.3794096472","24332","0.2543712172","0.3232421875","0.408045977"
"834","Orange Technical College-Orlando Campus","Orlando","FL","32801-1197","NULL","NULL","NULL","0.24375","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"835","Palm Beach Atlantic University","West Palm Beach","FL","33401","0.958","570","24","0.4843537415","0.004","0","0","0.0437","0.004","0","0.0219","0","0.5051","36500","42800","49600","NULL",1,"0.4441747573","0.5161290323","0.855513308","0.6815068493","0.8531951641","0.8480138169","0.7349228612","0.875","36894","0.4199288256","0.5094339623","0.5371900826"
"836","Palm Beach State College","Lake Worth","FL","33461-4796","NULL","NULL","NULL","0.2769822612","0.0118","0","0.0056","0","0","0","0","0.0014","0.3453","33400","36700","41900","NULL",1,"0.1359311282","0.3303030303","0.7592592593","0.5628019324","0.6712328767","0.7096296296","0.5314839278","0.6948571429","7752","0.2592480291","0.3181411975","0.3244274809"
"837","Pasco-Hernando State College","New Port Richey","FL","34654-5199","NULL","NULL","NULL","0.2265886288","0.0131","0","0.0046","0","0","0","0","0","NULL","29100","35800","41200","NULL",2,"0.1565420561","0.4","0.6666666667","0.5087719298","0.6916426513","0.6339712919","0.4792944785","0.6674311927","10031","0.2063587283","0.2559322034","0.3481481481"
"838","Pensacola State College","Pensacola","FL","32504-8998","NULL","NULL","NULL","0.2497536946","0.0155","0","0.0276","0","0","0","0","0","0.3106","28100","35300","37700","NULL",1,"0.1375770021","0.405","0.8012618297","0.674676525","0.7526132404","0.7267267267","0.5588235294","0.7265306122","11868","0.2217821782","0.3080357143","0.4925373134"
"839","Pinellas Technical College-Clearwater","Clearwater","FL","33760-2140","NULL","NULL","NULL","0.0867768595","0.0258","0","0.0329","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"840","Polk State College","Winter Haven","FL","33881-4299","NULL","NULL","NULL","0.2181168057","0.0052","0","0.0103","0","0","0","0","0","0.3099","31700","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.1101123596","0.6041666667","0.7619047619","0.6774193548","0.7741935484","0.8597560976","0.815","0.8267716535","13476","0.1970198675","0.2511520737","0.5277777778"
"841","Radford M Locklin Technical Center","Milton","FL","32570-8188","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","6380","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"842","Saint Vincent de Paul Regional Seminary","Boynton Beach","FL","33436-4899","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"843","Ridge Career Center","Winter Haven","FL","33881-9518","NULL","NULL","NULL","PrivacySuppressed","0.0121","0","0.0048","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","19242","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"844","Ringling College of Art and Design","Sarasota","FL","34234-5895","0.7498","NULL","NULL","0.6301369863","0","0","0","0","0","0","0","0","0.6543","38400","45600","43700","NULL",1,"0.6639344262","0.5669291339","0.8258064516","0.7226890756","0.8512396694","0.8620689655","0.7854545455","0.8781512605","52052","0.49","0.7246376812","0.6910569106"
"845","Toni & Guy Hairdressing Academy-Jacksonville","Jacksonville","FL","32256","NULL","NULL","NULL","0.6666666667","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"846","Robert Morgan Educational Center and Technical College","Miami","FL","33177","NULL","NULL","NULL","0.0953947368","0","0","0.0102","0","0","0","0","0","NULL","27000","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"847","Rollins College","Winter Park","FL","32789-4499","0.5577","640","28","0.6365853659","0.028","0","0","0.0473","0.0193","0","0.0158","0","0.7166","43800","46800","55800","NULL",1,"0.6872037915","0.6778242678","0.8531317495","0.7830188679","0.8451086957","0.8311688312","0.7809278351","0.855907781","55100","0.6068965517","0.6141732283","0.6884057971"
"848","First Coast Technical College","Saint Augustine","FL","32084-1919","NULL","NULL","NULL","0.0852017937","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"849","Saint Leo University","Saint Leo","FL","33574-6665","0.8478","NULL","NULL","0.3785328676","0.0462","0","0","0.0055","0.0006","0","0","0","0.4348","39500","50200","59500","NULL",1,"0.3703896104","0.43930131","0.8070866142","0.6323679727","0.7666320166","0.6806178376","0.5192572215","0.6706392199","31590","0.3327239488","0.4237954769","0.4378818737"
"850","St Petersburg College","Clearwater","FL","33760-2822","NULL","NULL","NULL","0.2291344668","0.0289","0","0.0211","0.0012","0","0","0","0","0.3089","31900","39000","44800","NULL",1,"0.1832718327","0.338766007","0.7054963084","0.4621254946","0.6217821782","0.67972103","0.4432432432","0.6271571299","12130","0.1928614277","0.2790194665","0.3428571429"
"851","Pinellas Technical College-St. Petersburg","Saint Petersburg","FL","33711-2209","NULL","NULL","NULL","0.1704545455","0","0","0.0319","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"852","Santa Fe College","Gainesville","FL","32606-6210","NULL","NULL","NULL","0.2778469197","0.0209","0","0.017","0","0","0","0","0.0037","0.4646","34400","38700","44600","NULL",1,"0.1679775281","0.2641770401","0.7350901526","0.5466735431","0.6854026846","0.6918547596","0.450867052","0.6291344124","12146","0.234375","0.3246445498","0.3755555556"
"853","Suncoast Technical College","Sarasota","FL","34233-1798","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"854","Argosy University-Sarasota","Sarasota","FL","34235","NULL","NULL","NULL","0.1547148504","0","0","0","0","0","0","0","0","NULL","40500","41300","42800","NULL",1,"0.2528301887","0.2847411444","0.8287937743","0.3969109195","0.6335710368","0.6141732283","0.2831947012","0.4932307692","23694","0.131641791","0.1812179017","0.2233333333"
"855","Seminole State College of Florida","Sanford","FL","32773-6199","NULL","NULL","NULL","0.1860841424","0.0196","0","0.0255","0","0","0","0","0","0.3501","32000","36400","43800","NULL",1,"0.1126373626","0.141221374","0.7469387755","0.4912192674","0.6385426654","0.6851595007","0.4720791263","0.647258338","12492","0.1586466165","0.2141666667","0.2703862661"
"856","Sheridan Technical College","Hollywood","FL","33021","NULL","NULL","NULL","0.0843881857","0.0279","0","0.0031","0","0","0","0","0","NULL","30600","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"857","Saint John Vianney College Seminary","Miami","FL","33165-3244","0.8571","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.8333","NULL","NULL","NULL","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","31300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"858","Saint Johns River State College","Palatka","FL","32177","NULL","NULL","NULL","0.1132616487","0.0157","0","0.0102","0","0","0","0","0","0.3571","31100","37400","37800","NULL",1,"0.0973111396","0.1255230126","0.6369863014","0.4831460674","0.6281512605","0.7107438017","0.564469914","0.7082405345","11564","0.103926097","0.1373056995","0.1048951049"
"859","South Florida State College","Avon Park","FL","33825-9356","NULL","NULL","NULL","0.099112426","0.0238","0","0.0119","0","0","0","0","0","0.4382","27900","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.0911270983","0.4102564103","0.7319587629","0.6296296296","0.78125","0.7523809524","0.5974025974","0.7790697674","4005","0.0773809524","PrivacySuppressed","PrivacySuppressed"
